################################################################################
IN SEQ: 	 b'cops in republican senate office violently assault disabled protesters ; reports of serious injuries'
PRED SEQ:	 b'so i ran for congress : a sneak preview'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0665986, 0.56095314, 0.010454425, 0.0028148124, 0.120037526, 0.0062810206, 0.0014975286, 0.16508472, 0.005364856]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"the deadly folly of the next afghan ' surge '"
GOLD SEQ: 	 b"the deadly folly of the next afghan ' surge '"
PRED SEQ:	 b"the deadly folly of the next afghan ' surge '"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0002624557, 0.3084164, 0.60588574, 2.4523639e-05, 1.2113053e-05, 9.809126e-05, 0.003271671, 7.649732e-06, 4.804804e-05, 7.121456e-06]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'cnn ##s jake tap ##per perfectly rip ##s apart trump ##s lies about fake news ( video )'
GOLD SEQ: 	 b'cnn ##s jake tap ##per perfectly rip ##s apart trump ##s lies about fake news ( video )'
PRED SEQ:	 b'cnn ##s jake tap ##per rip ##s apart trump ##s lies about fake news ( video )'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.00086654973, 0.0013019168, 2.799532e-05, 1.2285291e-05, 1.0544093e-05, 0.946965, 0.0003097582, 0.00038291106, 5.1135885e-05, 0.0015814918, 0.0021282153, 0.0005698381, 1.2215768e-05, 0.00019715363, 5.6817144e-06, 3.4962368e-06, 2.5612342e-05, 2.4984477e-06]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'multiple reports indicate the 2016 election results were likely rigged ( video )'
GOLD SEQ: 	 b'multiple reports indicate the 2016 election results were likely rigged ( video )'
PRED SEQ:	 b'multiple reports indicate the 2016 election results were rigged ( video )'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.011525042, 0.0024469586, 0.059434168, 6.3040984e-06, 5.79114e-05, 2.5665939e-05, 4.04246e-05, 0.008467634, 0.6763522, 0.08271331, 2.1046364e-05, 0.0034336871, 7.5123694e-06]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'breaking : officials admit ho ##rri ##fying truth about russian hacking , this is what trump is hiding .'
GOLD SEQ: 	 b'breaking : officials admit ho ##rri ##fying truth about russian hacking , this is what trump is hiding .'
PRED SEQ:	 b'breaking : officials admit truth about russian hacking , this is what trump is hiding .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [3.5591804e-06, 1.4140578e-06, 5.517863e-06, 3.1710973e-05, 0.99972576, 0.99979085, 0.99976236, 8.152914e-06, 8.3641936e-07, 4.4670196e-06, 1.2692634e-05, 7.0502193e-07, 2.6660384e-06, 2.7961032e-06, 1.6680733e-06, 1.8655785e-06, 2.0403436e-06, 1.8926663e-05, 6.673276e-07]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'a federal court just ruined trump ##s chance of destroying the environment'
GOLD SEQ: 	 b'a federal court just ruined trump ##s chance of destroying the environment'
PRED SEQ:	 b'a federal court just trump ##s chance of destroying the environment'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0007905027, 0.0002646584, 5.6039044e-05, 0.4316121, 0.54761565, 0.0055944123, 0.0011542729, 0.019551707, 4.100435e-05, 0.010437144, 8.122648e-05, 0.0008559879]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'sanders coward ##ly refuses to answer simple question about trump ##s racism ( video )'
GOLD SEQ: 	 b'sanders coward ##ly refuses to answer simple question about trump ##s racism ( video )'
PRED SEQ:	 b'sanders refuses to answer simple question about trump ##s racism ( video )'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [7.748662e-06, 0.9995552, 0.99948895, 2.2139607e-06, 8.38615e-07, 1.1154503e-06, 0.0001700753, 1.3696217e-06, 1.1727494e-06, 2.5329124e-05, 1.8828494e-05, 1.6605403e-05, 8.5120416e-07, 2.4973947e-06, 7.2829926e-07]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'breaking : sean spice ##r resign ##s amidst ongoing scandal in white house'
GOLD SEQ: 	 b'breaking : sean spice ##r resign ##s amidst ongoing scandal in white house'
PRED SEQ:	 b'breaking : sean spice ##r resign ##s amidst ongoing scandal'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.002296325, 0.0001831932, 2.708038e-05, 1.4319836e-05, 1.5493253e-05, 0.0049507404, 0.01274718, 0.015607418, 0.0438494, 0.804493, 0.00045527055, 1.7247223e-05, 5.0485546e-06]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'criminal : indiana go ##p makes ho ##rri ##fying move to steal elections'
GOLD SEQ: 	 b'criminal : indiana go ##p makes ho ##rri ##fying move to steal elections'
PRED SEQ:	 b'criminal : indiana go ##p makes move to steal elections'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [2.478728e-06, 1.0719635e-06, 1.3976049e-06, 8.9778e-07, 9.5218115e-07, 1.7617958e-06, 0.9975623, 0.99820197, 0.9982691, 4.122385e-06, 1.0450653e-06, 0.0010052377, 2.0705622e-06]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'u . s . job growth accelerate ##s ; guess what president made that happen'
GOLD SEQ: 	 b'u . s . job growth accelerate ##s ; guess what president made that happen'
PRED SEQ:	 b'u . s . job growth accelerate ##s ; guess what president made that happen'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.010196698, 0.00035490954, 0.00086847605, 0.0009994631, 0.005315265, 0.005802155, 0.105991565, 0.10606067, 0.0021159863, 0.12290621, 0.03296536, 0.46426395, 0.118306614, 0.0012140588, 0.0088485675]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'judge stands up to cry baby neo - nazi leader charles can ##t ##well after he is taken into custody'
GOLD SEQ: 	 b'judge stands up to cry baby neo - nazi leader charles can ##t ##well after he is taken into custody'
PRED SEQ:	 b'judge stands up to cry baby leader charles can ##t ##well after he is taken into custody'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.00018634868, 0.00020069852, 1.0666806e-05, 1.2158561e-05, 0.004420323, 0.016595226, 0.8567962, 0.9012931, 0.74246216, 0.0068164547, 9.657807e-06, 4.077211e-06, 6.7543992e-06, 4.193357e-06, 6.380465e-06, 9.116031e-06, 5.264455e-06, 1.6962033e-05, 2.0105183e-06, 1.06434645e-05]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'watch : artist expose ##s trump jr . s corruption in a hot new song its shocking ##ly good'
GOLD SEQ: 	 b'watch : artist expose ##s trump jr . s corruption in a hot new song its shocking ##ly good'
PRED SEQ:	 b'watch : artist expose ##s trump jr . s corruption in a hot new song its good'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.5161344e-05, 4.8681304e-06, 3.234318e-05, 0.011418602, 0.00671546, 5.3842887e-06, 5.75086e-06, 2.0579942e-06, 6.880763e-06, 0.00083871227, 2.2652312e-06, 2.0745429e-06, 4.295129e-05, 4.8283764e-06, 2.9909934e-06, 0.0003065513, 0.97817665, 0.93176866, 5.7230638e-05]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'trump jr . makes amateur faux pas like a buff ##oon & gets his a * * handed to him'
GOLD SEQ: 	 b'trump jr . makes amateur faux pas like a buff ##oon & gets his a * * handed to him'
PRED SEQ:	 b'trump jr . makes faux pas like a buff ##oon & gets his a * * handed to him'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0022480644, 0.00015503335, 0.0002838858, 0.020936308, 0.7284452, 0.018663596, 0.0056986725, 0.0017192215, 0.0019897427, 0.12851216, 0.05011519, 0.0016928844, 0.00067776564, 0.0026452532, 0.0022661972, 0.0016274289, 0.0022107563, 0.001808325, 7.08786e-05, 0.0006129266]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'paul ryan desperately searches for a new focus amid russia scandal ; becomes white house fashion adviser'
GOLD SEQ: 	 b'paul ryan desperately searches for a new focus amid russia scandal ; becomes white house fashion adviser'
PRED SEQ:	 b'paul ryan searches for a new focus amid russia scandal ; becomes white house fashion adviser'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [2.635347e-05, 6.45346e-06, 0.9526092, 2.1737911e-05, 2.6139169e-06, 3.4203117e-06, 1.1113837e-05, 3.0013802e-05, 0.0013802436, 0.00087541057, 0.01303837, 6.750613e-06, 3.4721692e-05, 2.4714154e-06, 1.3858245e-06, 5.400688e-06, 9.855588e-06]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'trump brothers just went after the media and it major ##ly back ##fires'
GOLD SEQ: 	 b'trump brothers just went after the media and it major ##ly back ##fires'
PRED SEQ:	 b'trump brothers just went after the media and it back ##fires'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.00048723927, 0.0007903294, 0.0027125126, 3.52541e-05, 2.2594217e-05, 6.53919e-06, 0.00020958354, 9.0526855e-06, 2.8892062e-05, 0.9080472, 0.9750014, 0.00036931754, 0.00044514792]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'michelle obama just res ##ur ##face ##d to show mel ##ania how a real first lady acts'
GOLD SEQ: 	 b'michelle obama just res ##ur ##face ##d to show mel ##ania how a real first lady acts'
PRED SEQ:	 b'michelle obama res ##ur ##face ##d to show mel ##ania how a real first lady acts'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0008405404, 0.00047503735, 0.7021891, 0.0016245439, 0.00046444428, 0.00070584804, 0.0022140848, 4.8033195e-05, 0.0004809212, 0.0052450653, 0.008298054, 0.0028667634, 8.439209e-05, 0.008769703, 0.00015270353, 0.00015774011, 0.018222546]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'trump just finally t ##wee ##ted about purple heart day and it will surely piss you off'
GOLD SEQ: 	 b'trump just finally t ##wee ##ted about purple heart day and it will surely piss you off'
PRED SEQ:	 b'trump just finally t ##wee ##ted about purple heart day and it will piss you off you'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.017267957, 0.020833569, 0.1151555, 6.0966686e-05, 0.00032788457, 0.00024186083, 0.00018813167, 0.0017169422, 0.00041141012, 0.0012187039, 0.00036228687, 0.0037314151, 0.102947466, 0.54200655, 0.0014927761, 0.0024529612, 0.0003608094]
GOLD TOK: 	 []
PRED TOK: 	 [['you']]
################################################################################
IN SEQ: 	 b'trump launches alternative facts real news show and might have just invented lie porn'
GOLD SEQ: 	 b'trump launches alternative facts real news show and might have just invented lie porn'
PRED SEQ:	 b'trump launches alternative facts real news show and might have just invented lie porn'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.023877561, 0.09550641, 0.04428642, 0.089805886, 0.07916868, 0.0007095615, 0.0036856807, 0.0006970941, 0.084101036, 0.0015764326, 0.03840468, 0.02331506, 0.27348214, 0.17681652]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'eric trump decided to t ##wee ##t something really stupid today ; the internet makes him pay'
GOLD SEQ: 	 b'eric trump decided to t ##wee ##t something really stupid today ; the internet makes him pay'
PRED SEQ:	 b'eric trump decided to t ##wee ##t something stupid today ; the internet makes him pay'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.01577041, 0.0015007277, 0.0035687976, 2.711488e-05, 0.00011845044, 0.00111268, 0.00055078167, 0.010271936, 0.29839694, 0.06676446, 0.0059548104, 0.0008399752, 0.002456961, 0.0016093564, 0.3966824, 0.015456738, 0.10189539]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'trump son - in - law ku ##sh ##ner attempted to buy scandal - mon ##ger ##ing national en ##qui ##rer : report'
GOLD SEQ: 	 b'trump son - in - law ku ##sh ##ner attempted to buy scandal - mon ##ger ##ing national en ##qui ##rer : report'
PRED SEQ:	 b'trump son - in - law ku ##sh ##ner attempted to buy national en ##qui ##rer : report'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [4.3947207e-06, 1.2861122e-05, 1.8507462e-06, 1.6059506e-06, 1.6083018e-06, 1.4734532e-06, 2.0499083e-06, 2.3692035e-06, 1.2013185e-06, 4.992181e-05, 1.5229855e-06, 0.00041345382, 0.9871538, 0.9885909, 0.9953968, 0.994545, 0.9930246, 7.3619793e-07, 6.660839e-07, 7.2481953e-07, 6.501195e-07, 8.4696836e-07, 1.5612551e-06]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'new poll shows just how much republicans hate higher education'
GOLD SEQ: 	 b'new poll shows just how much republicans hate higher education'
PRED SEQ:	 b'new poll shows just how much republicans'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.00027161805, 9.074554e-06, 0.001097687, 0.1929406, 0.00020964349, 0.021966025, 0.004500584, 0.49646994, 0.0003247159, 2.1870428e-05]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'the whole thing is tar ##nished : trump has already foul ##ed up the process of getting a new fbi director'
GOLD SEQ: 	 b'the whole thing is tar ##nished : trump has already foul ##ed up the process of getting a new fbi director'
PRED SEQ:	 b'the whole thing is tar ##nished : trump has already up the process of getting a new fbi director'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [3.666904e-05, 5.4992797e-05, 1.4953647e-05, 0.0012868721, 0.34540093, 0.20499946, 1.353839e-05, 7.903224e-05, 0.00024411082, 0.004047958, 0.89706385, 0.82635564, 0.08468752, 1.1686876e-06, 1.7834323e-06, 1.0829611e-06, 7.864721e-06, 1.669504e-06, 3.3184108e-06, 2.541103e-06, 4.2327274e-06]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'north carolina sheriff issues conde ##sc ##ending lecture to reporter who questioned him on prayer event'
GOLD SEQ: 	 b'north carolina sheriff issues conde ##sc ##ending lecture to reporter who questioned him on prayer event'
PRED SEQ:	 b'north carolina sheriff issues lecture to reporter who questioned him on prayer event'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.5697277e-06, 1.9854167e-06, 1.5891311e-06, 6.9571456e-06, 0.9998585, 0.9998411, 0.99984777, 2.5384692e-05, 1.0054889e-06, 2.7670967e-05, 8.991552e-07, 2.4729525e-06, 3.5404964e-06, 7.82362e-07, 2.282088e-06, 2.3775215e-06]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'trump admits he spoke with putin ; thinks private col ##lusion is totally fine ( t ##wee ##ts )'
GOLD SEQ: 	 b'trump admits he spoke with putin ; thinks private col ##lusion is totally fine ( t ##wee ##ts )'
PRED SEQ:	 b'trump stated he spoke with putin ; thinks private col ##lusion is totally fine ( t ##wee ##ts )'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.00961135, 0.8366407, 4.5752513e-05, 0.0001360117, 1.0021814e-05, 0.000616244, 0.0007440687, 0.55152977, 0.0021347692, 5.408396e-05, 6.2029205e-05, 4.4509856e-05, 0.0017391929, 0.00015282647, 5.4500633e-06, 8.813683e-06, 2.15605e-05, 1.5489191e-05, 2.4830933e-06]
GOLD TOK: 	 []
PRED TOK: 	 [['stated']]
################################################################################
IN SEQ: 	 b'radio host trump praised for amazing reputation does his best to do him proud ( video )'
GOLD SEQ: 	 b'radio host trump praised for amazing reputation does his best to do him proud ( video )'
PRED SEQ:	 b'radio host trump praised for reputation does his best to do him proud ( video )'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0004121607, 0.0005770401, 8.6004344e-05, 0.011845795, 0.0005110423, 0.81636924, 0.00036425114, 0.0019052696, 6.2463114e-05, 7.471344e-05, 3.6394233e-06, 5.83221e-06, 6.5010194e-05, 0.00053353317, 6.679906e-06, 0.00023363988, 4.0520463e-06]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'here are 5 things you should know about the trial for americas tough ##est sheriff joe ar ##pa ##io'
GOLD SEQ: 	 b'here are 5 things you should know about the trial for americas tough ##est sheriff joe ar ##pa ##io'
PRED SEQ:	 b'here are 5 things you should know about the trial for americas sheriff joe ar ##pa ##io'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [7.629263e-05, 0.00011531694, 0.0018202317, 0.00040880663, 0.023624212, 0.03926134, 6.484652e-06, 3.1542893e-06, 3.206823e-06, 3.352785e-05, 4.41246e-06, 0.00010875163, 0.8504497, 0.735958, 0.0016782471, 7.627775e-06, 7.939847e-06, 8.3254345e-06, 1.2383476e-05]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'devin nun ##es : i never said i was leaving the russia investigation for good'
GOLD SEQ: 	 b'devin nun ##es : i never said i was leaving the russia investigation for good'
PRED SEQ:	 b'devin nun ##es : i never said i was leaving the russia investigation for good'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.32236218, 0.02322472, 0.0022616435, 0.009493834, 0.0003652714, 0.004323826, 0.00045543702, 5.7442565e-05, 7.696739e-05, 0.00021697702, 4.473838e-05, 0.0015127712, 0.00021928162, 0.0069328113, 0.60699904]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'trump tries to use complete lie about former president obama to justify pardon ##ing joe ar ##pa ##io'
GOLD SEQ: 	 b'trump tries to use complete lie about former president obama to justify pardon ##ing joe ar ##pa ##io'
PRED SEQ:	 b'trump tries to use complete lie about former president obama to justify pardon ##ing joe ar ##pa ##io'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.007444961, 0.19200826, 0.00053607917, 0.026787063, 0.3921561, 0.05827338, 0.0012608651, 0.00065032754, 6.8607646e-05, 6.2494684e-05, 0.000103445615, 0.10280352, 0.00389006, 0.00072556105, 8.209301e-05, 2.352651e-05, 1.712633e-05, 2.7602151e-05]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'trump secretary of un - education betsy dev ##os just got the shock of her career !'
GOLD SEQ: 	 b'trump secretary of un - education betsy dev ##os just got the shock of her career !'
PRED SEQ:	 b'trump secretary of un - education betsy dev ##os just got the shock of her career'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.29043928, 0.000731304, 5.5665892e-05, 0.0005107937, 0.0003551251, 0.0016626993, 0.0022677763, 0.00016201999, 7.620015e-05, 0.08687264, 0.0041939397, 0.0001450238, 0.010079642, 6.860293e-05, 0.0014943975, 0.0043453397, 0.7601666]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'president trump drops robert mueller bombs ##hell on am talk show ( video )'
GOLD SEQ: 	 b'president trump drops robert mueller bombs ##hell on am talk show ( video )'
PRED SEQ:	 b'president trump drops robert mueller on am talk show ( video )'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.1158387e-06, 1.5861891e-06, 0.0002715634, 9.549939e-07, 1.1017362e-06, 0.99984145, 0.9997688, 2.1934702e-06, 7.2305043e-06, 1.4556718e-06, 9.479336e-07, 6.6812356e-07, 1.1626536e-06, 6.2809914e-07]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'breaking : jeff session uses 1 word to justify his hate for muslims its sick'
GOLD SEQ: 	 b'breaking : jeff session uses 1 word to justify his hate for muslims its sick'
PRED SEQ:	 b'breaking : jeff session uses 1 word to justify his hate for muslims its sick'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [5.0934592e-05, 1.1842326e-05, 1.6744705e-05, 1.1554462e-05, 0.00011861162, 7.6562006e-05, 0.00020838914, 6.6759194e-06, 0.0004977014, 0.00090794323, 0.17093335, 6.829992e-05, 0.0004233137, 0.022231475, 0.7977096]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'us total solar eclipse sparks spectator excitement'
GOLD SEQ: 	 b'us total solar eclipse sparks spectator excitement'
PRED SEQ:	 b'us total solar eclipse sparks spectator'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.00013742317, 3.20336e-06, 1.8448413e-06, 2.5887266e-06, 0.023082681, 0.03490126, 0.78535825]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'lord of the rings actor just hilarious ##ly read trump ##s t ##wee ##ts in go ##llum ##s voice'
GOLD SEQ: 	 b'lord of the rings actor just hilarious ##ly read trump ##s t ##wee ##ts in go ##llum ##s voice'
PRED SEQ:	 b'lord of the rings actor just read trump ##s t ##wee ##ts in go ##llum ##s voice'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.2097872e-06, 6.872087e-07, 6.4973085e-07, 8.5234456e-07, 1.4086917e-05, 0.000747314, 0.9987482, 0.99228126, 2.8335583e-06, 2.9529604e-06, 1.703361e-06, 1.318897e-06, 1.5073509e-06, 1.4888682e-06, 1.0367565e-06, 2.811092e-06, 2.435447e-06, 2.8114246e-06, 2.5966367e-06]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'amid charlotte ##sville crisis trump plans to pardon convicted criminal and racist former officer'
GOLD SEQ: 	 b'amid charlotte ##sville crisis trump plans to pardon convicted criminal and racist former officer'
PRED SEQ:	 b'amid charlotte ##sville crisis trump plans to pardon convicted criminal and former officer former officer'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [8.102146e-05, 5.936959e-06, 3.1977347e-06, 0.000485765, 6.903297e-05, 7.410047e-05, 3.4882803e-06, 0.00017234446, 0.00011312483, 5.359247e-05, 3.0936993e-05, 0.96141034, 3.737941e-05, 3.1701296e-05]
GOLD TOK: 	 []
PRED TOK: 	 [['former', 'officer']]
################################################################################
IN SEQ: 	 b'millennia ##ls are fighting to build a more socially conscious world built on authenticity'
GOLD SEQ: 	 b'millennia ##ls are fighting to build a more socially conscious world built on authenticity'
PRED SEQ:	 b'millennia ##ls are fighting to build a more socially conscious world built on authenticity'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.24134783, 0.3402187, 0.064337485, 0.21538106, 3.6833062e-05, 0.00043924, 2.8473727e-05, 0.0004511616, 5.4963024e-05, 0.00026102155, 0.00014522905, 0.00090720516, 8.015258e-06, 0.032844044]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'obama ##s ambassador to russia slams weak trump after putin meeting'
GOLD SEQ: 	 b'obama ##s ambassador to russia slams weak trump after putin meeting'
PRED SEQ:	 b'obama ##s ambassador to russia slams trump after putin meeting'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
