################################################################################
IN SEQ: 	 b'cops in republican senate office assault disabled protesters ; reports of serious injuries'
PRED SEQ:	 b'allegations of han ##ta ##virus infections'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.27453664, 0.12687589, 0.15767618, 0.26526946, 0.1103794, 0.10614392]
GOLD TOK: 	 [['kills', 'three', 'in', 'washington', 'state']]
PRED TOK: 	 [['allegations']]
################################################################################
IN SEQ: 	 b'thousands of americans will die : bernie sanders destroys trump ##care bill trump'
GOLD SEQ: 	 b'thousands of americans will die : bernie sanders destroys bar ##bari ##c trump ##care bill'
PRED SEQ:	 b'thousands of americans will die : bernie sanders destroys trump ##care bill trump'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.10259195, 0.07048326, 0.030112527, 0.020266965, 0.11274482, 0.034322612, 0.12782079, -0.0041501224, 0.12591194, 0.16938713, 0.062415622, 0.19443832, 0.26517493]
GOLD TOK: 	 [['bar', '##bari', '##c']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'fox news hosts about children dying of cancer during trump ##care'
GOLD SEQ: 	 b'fox news hosts joke about children dying of cancer during trump ##care debate'
PRED SEQ:	 b'fox news hosts about children dying of cancer during trump'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.024407744, 0.123951666, 0.13643673, 0.3101994, 0.22103024, 0.37542334, 0.23337051, 0.31962353, 0.2617955, 0.26384935, 0.26809585]
GOLD TOK: 	 [['joke'], ['debate']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'watch : eric trump throws a about the clinton ##s on fox news'
GOLD SEQ: 	 b'watch : eric trump throws a hiss ##y fit about the clinton ##s on fox news'
PRED SEQ:	 b'watch : eric trump'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.04118441, 0.16638318, 0.26169452, 0.09423581, 0.0063544214, -0.05318875, 0.037064657, 0.062138274, 0.12575643, 0.13222629, -0.16373959, -0.11683117, -0.08152007]
GOLD TOK: 	 [['hiss', '##y', 'fit']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'leaked : trump f * ck ##ed over top congress ##men in the worst way ;'
GOLD SEQ: 	 b'leaked : trump f * ck ##ed over top congress ##men in the worst way ; here ##s how'
PRED SEQ:	 b'leaked : trump rejected over top congress ##men in the worst way ;'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.28381944, -0.16462497, -0.029102921, 0.12034167, -0.10203883, -0.040582456, 0.06489864, 0.040516995, -0.046117403, 0.027350243, -0.06014878, 0.032521393, 0.23955506, 0.18405908, -0.14404346, -0.60949904]
GOLD TOK: 	 [['here', '##s', 'how']]
PRED TOK: 	 [['rejected']]
################################################################################
IN SEQ: 	 b'astronaut photo ##bo ##mbs trump ##s press conference and its ( video )'
GOLD SEQ: 	 b'famous astronaut photo ##bo ##mbs trump ##s press conference and its epic ( video )'
PRED SEQ:	 b'astronaut photo ##bo ##mbs trump ##s press conference and its ( video )'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.23273885, -0.33143657, -0.41564858, -0.2869091, -0.23100957, -0.15823117, -0.071563974, -0.10535571, -0.2086846, -0.15762347, -0.106742114, -0.35651505, -0.29163924]
GOLD TOK: 	 [['famous'], ['epic']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'mcconnell publicly rejects trump ##s healthcare idea , go ##p civil war has begun has begun'
GOLD SEQ: 	 b'mcconnell publicly rejects trump ##s healthcare idea , inevitable go ##p civil war has begun'
PRED SEQ:	 b'mcconnell publicly rejects trump ##s healthcare idea , go ##p civil war has begun has begun'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]
PRED DIST: 	 [0.22389136, 0.2792192, 0.22269367, 0.4766519, 0.39490026, 0.47410256, 0.37169152, 0.43314677, 0.31597376, 0.25343168, 0.38852686, 0.24268544, 0.06774962, 0.12566966, 0.10415095, 0.15435773]
GOLD TOK: 	 [['inevitable']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'se ##mp ##er fi : trump just got drilled in core values by the commandant of the marines'
GOLD SEQ: 	 b'se ##mp ##er fi : trump just got drilled in core values by the commandant of the marines'
PRED SEQ:	 b'se ##mp ##er fi : trump just got drilled in core values by the commandant of the marines'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.010229483, -0.040762275, 0.0909677, -0.0657017, -0.144283, 0.15393165, 0.108461335, 0.08283141, 0.31279823, 0.19777448, 0.35765097, 0.21661897, 0.17239234, 0.1260725, 0.49763256, 0.13293007, 0.3606664, 0.28577173]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'of all the things about trump , here are the two things that terri ##fy me most'
GOLD SEQ: 	 b'of all the awful things about trump , here are the two things that terri ##fy me most'
PRED SEQ:	 b'of all the things about trump , here are the two things that terri ##fy me most'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.046304077, -0.007912904, -0.046984695, -0.30288774, -0.29698038, -0.18123773, 0.25755477, -0.20686959, 0.06840624, 0.094883904, 0.08570877, -0.14795563, 0.029636398, 0.04331085, -0.0043001547, -0.1781703, 0.16663718]
GOLD TOK: 	 [['awful']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'trump just t ##wee ##ted about hurricane harvey and humiliated'
GOLD SEQ: 	 b'trump just t ##wee ##ted about hurricane harvey and humiliated himself'
PRED SEQ:	 b'trump just t ##wee ##ted about hurricane harvey and disputed trump'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.13025229, 0.060300753, -0.15344132, -0.010172438, -0.1573036, -0.078282535, 0.02209755, -0.06968899, 0.1824864, 0.20395073]
GOLD TOK: 	 [['himself']]
PRED TOK: 	 [['disputed', 'trump']]
################################################################################
IN SEQ: 	 b'cnn ##s sanchez : is barely interested trump ##s twitter how he hides his ignorance about policy ?'
GOLD SEQ: 	 b'cnn ##s sanchez : is barely interested trump ##s twitter circus how he hides his ignorance about policy ?'
PRED SEQ:	 b'cnn ##s sanchez : is barely interested trump ##s twitter how he hides his ignorance about policy ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.10378696, 0.12667862, 0.11340661, 0.05187571, 0.06289603, 0.22556308, 0.13172622, -0.058725215, 0.025781296, 0.07868301, 0.04328955, 0.16740596, 0.14054567, 0.1873917, 0.21001759, 0.08307037, 0.16483602, 0.0815724]
GOLD TOK: 	 [['circus']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'we can afford trans soldiers : $ 134 billion spent on via ##gra , gi ##tm ##o , and 3 other things can afford trans soldiers :'
GOLD SEQ: 	 b'we can afford trans soldiers : $ 134 billion spent on via ##gra , gi ##tm ##o , and 3 other ridiculous things'
PRED SEQ:	 b'we can afford trans soldiers : $ 134 billion spent on via ##gra , gi ##tm ##o , and 3 other things to afford trans soldiers :'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]
PRED DIST: 	 [0.055595435, -0.19212775, 0.012198925, -0.074475735, 0.12566505, 0.1822302, 0.652648, 0.5960604, 0.41196227, 0.40129843, -0.162601, 0.33971688, 0.38632703, 0.39649895, 0.2126886, 0.15094388, 0.32197443, 0.3421476, -0.035050556, 0.35993004, 0.1218768, -0.12617676, -0.10606113, 0.046082653, -0.094819635, 0.14547774, 0.17187288]
GOLD TOK: 	 [['ridiculous']]
PRED TOK: 	 [['to']]
################################################################################
IN SEQ: 	 b'mel ##ania trump has been trapped by protest ##ors & is unable to attend the g ##20 summit today'
GOLD SEQ: 	 b'mel ##ania trump has been trapped by violent protest ##ors & is unable to attend the g ##20 summit today'
PRED SEQ:	 b'mel ##ania trump has been trapped by protest ##ors & is unable to attend the g ##20 summit today'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.11312488, 0.46885934, 0.14109987, 0.093267865, 0.15743051, 0.2317952, -0.14403233, 0.090973735, 0.013239048, 0.0063690245, 0.019846141, 0.07772805, 0.04272139, 0.1647326, 0.08010739, 0.10539764, -0.020629093, 0.011836961, 0.01591611]
GOLD TOK: 	 [['violent']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'fox news reporter abruptly leaves press briefing with a big f * ck you to hu ##ck ##abe ##e sanders'
GOLD SEQ: 	 b'fox news reporter abruptly leaves press briefing with a big f * ck you to hu ##ck ##abe ##e sanders'
PRED SEQ:	 b'fox news reporter abruptly leaves press briefing with a big f * ck you to hu ##ck ##abe ##e sanders'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.14919388, 0.2042595, 0.24832688, 0.12056346, 0.08886234, 0.25389487, 0.3375791, 0.09087546, 0.26066214, 0.24557033, 0.3722667, 0.30989668, 0.21222408, 0.21138671, 0.36991772, 0.4952989, 0.33630928, 0.6544291, 0.16535401, 0.3227634]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'right - wing alex jones now calling for civil war against all liberals'
GOLD SEQ: 	 b'right - wing lunatic alex jones now calling for civil war against all liberals'
PRED SEQ:	 b'right - wing alex jones now calling for civil war against all liberals'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.01793468, -0.14495209, -0.06851667, 0.18486951, 0.037619725, -0.060187384, -0.0065477565, -0.12139884, 0.023061827, -0.11033409, -0.10344383, -0.20676905, -0.16743958]
GOLD TOK: 	 [['lunatic']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'trump w ##hine about fake news on global stage , bra ##gs about the apprentice ( video )'
GOLD SEQ: 	 b'trump w ##hine ##s about fake news on global stage , bra ##gs about the apprentice ( video )'
PRED SEQ:	 b'trump describes about fake news on global stage , bra ##gs about the apprentice ( video )'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.14993131, 0.16335967, 0.14834014, 0.1662638, 0.4412158, 0.23880434, 0.22733083, 0.24338162, 0.15910983, 0.39843792, 0.07641189, -0.012735501, 0.25407666, 0.4732087, 0.5256256, 0.32404205, 0.0132291615, 0.26295632]
GOLD TOK: 	 [['##s']]
PRED TOK: 	 [['describes']]
################################################################################
IN SEQ: 	 b'in the face of climate crisis , trump has become an international : sad !'
GOLD SEQ: 	 b'in the face of climate crisis , trump has become an international par ##iah : sad !'
PRED SEQ:	 b'in the face of climate crisis , trump has become an international :'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.036388695, -0.067735225, 0.1997354, -0.042061538, -0.033243433, 0.10282433, 0.19006306, 0.07785966, -0.16267946, 0.053319007, 0.09980736, -0.06441243, -0.10518252, 0.18172012, -0.14505845]
GOLD TOK: 	 [['par', '##iah']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'w ##h blinds with new statement on syria in desperate bid to distract from russia'
GOLD SEQ: 	 b'w ##h blinds ##ides pentagon with new statement on syria in desperate bid to distract from russia'
PRED SEQ:	 b'w ##h blinds with new statement on syria in bid to distract from russia'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.18774788, 0.16090664, 0.2762807, 0.081936955, 0.20397171, 0.24593848, 0.08148475, 0.3604166, 0.2764756, 0.4452356, 0.46001625, 0.21640906, 0.2871796, 0.14148049, 0.2555863]
GOLD TOK: 	 [['##ides', 'pentagon']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'republicans revolt as # 2 go ##p senator defend ##s mitch mcconnell with statement on trump !'
GOLD SEQ: 	 b'republicans revolt as # 2 go ##p senator defend ##s mitch mcconnell with shocking statement on trump !'
PRED SEQ:	 b'republicans invasion as # 2 go ##p senator defend ##s mitch mcconnell with statement on trump !'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.007972404, 0.14589465, 0.31614038, 0.3030723, 0.15923938, 0.18027848, 0.18881793, 0.035894528, 0.10844283, 0.13883772, 0.48009038, 0.27137408, 0.053766176, 0.14488402, -0.10242747, 0.21751827, -0.03885284]
GOLD TOK: 	 [['shocking']]
PRED TOK: 	 [['invasion']]
################################################################################
IN SEQ: 	 b'reporter def ##ies white house rules with this one move ; internet hail ##s her a hero ( t ##wee ##ts )'
GOLD SEQ: 	 b'reporter def ##ies white house rules with this one courageous move ; internet hail ##s her a hero ( t ##wee ##ts )'
PRED SEQ:	 b'reporter def ##ies white house rules with this one move ; internet hail ##s her a hero ( t ##wee ##ts )'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.09863563, 0.15158944, 0.2825039, 0.040722825, 0.050490998, 0.33132976, -0.036192313, 0.07463114, 0.13648376, 0.087692924, -0.00043027103, -0.03443239, 0.120170146, 0.11705178, 0.06056744, 0.16496783, 0.1813327, 0.16193579, -0.2097946, -0.19244432, -0.3068683, 0.29745826]
GOLD TOK: 	 [['courageous']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'breaking : top do ##j official resign ##s , leaves letter exposing trump corruption'
GOLD SEQ: 	 b'breaking : top do ##j official resign ##s , leaves damn ##ing letter exposing trump corruption'
PRED SEQ:	 b'breaking : top do ##j official resign ##s , leaves letter exposing trump corruption'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.14230797, 0.20892096, 0.3636363, 0.051984496, 0.098934114, 0.19785027, 0.27829576, 0.14475675, 0.369367, 0.0785715, 0.09843479, 0.16278915, 0.03642585, 0.18973024]
GOLD TOK: 	 [['damn', '##ing']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'trump family just received news about their businesses ; this is pretty bad'
GOLD SEQ: 	 b'trump family just received devastating news about their businesses ; this is pretty bad'
PRED SEQ:	 b'trump family just received news about their businesses ; this is pretty'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.21229216, 0.11968228, 0.16857669, 0.35384896, 0.22484124, 0.20897797, 0.104500696, 0.16694225, 0.0763634, -0.049419545, 0.02114977, 0.22557622, 0.2539833]
GOLD TOK: 	 [['devastating']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'the rock has officially filed his 2020 presidential campaign'
GOLD SEQ: 	 b'the rock has officially filed his 2020 presidential campaign'
PRED SEQ:	 b'the rock has officially filed his 2020 presidential campaign'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.24663548, 0.2658596, 0.06603441, 0.16579324, 0.20381117, 0.28618863, 0.24589495, 0.23117018, 0.25250283]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'jeff sessions as attempt to defend trump ##s non - reaction to nazis goes terribly wrong ( video )'
GOLD SEQ: 	 b'jeff sessions cr ##umble ##s as attempt to defend trump ##s non - reaction to nazis goes terribly wrong ( video )'
PRED SEQ:	 b'jeff sessions as attempt to defend trump ##s non - reaction to nazis goes wrong ( video )'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.10654493, -0.07857471, 0.12685382, -0.09015182, -0.4119068, -0.08370193, -0.21535847, -0.13939515, -0.02361435, -0.21777946, 0.033363402, -0.09705791, -0.11925455, 0.0674221, 0.04324054, -0.005534582, -0.07041201, -0.21370909, 0.1524452]
GOLD TOK: 	 [['cr', '##umble', '##s']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'trump bail ##s on republicans , begs democrats to help him win ( details )'
GOLD SEQ: 	 b'trump bail ##s on republicans , secretly begs democrats to help him win ( details )'
PRED SEQ:	 b'trump bail ##s on republicans ,'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.10741439, -0.19798554, -0.07588227, -0.21698669, 0.02307807, 0.1986998, -0.11357196, -0.11492018, -0.09360089, -0.051220603, -0.1507371, -0.14429216, -0.10456055, -0.37512082, -0.20700501]
GOLD TOK: 	 [['secretly']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'former d ##nc chair : russia may have installed trump with votes votes'
GOLD SEQ: 	 b'former d ##nc chair : russia may have installed trump with fa ##ls ##ified votes'
PRED SEQ:	 b'former d ##nc chair : russia may have been trump with votes'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [-0.043045595, 0.034850508, 0.062036708, 0.18149298, -0.00084742904, 0.0041497573, -0.055232875, -0.2125707, 0.19501375, 0.13837612, -0.08912946, -0.024760516, 0.14695579]
GOLD TOK: 	 [['fa', '##ls', '##ified']]
PRED TOK: 	 [['been']]
################################################################################
IN SEQ: 	 b'breaking : lost documents res ##ur ##face to expose trump crime from 1983'
GOLD SEQ: 	 b'breaking : lost documents res ##ur ##face to expose sick trump crime from 1983'
PRED SEQ:	 b'breaking : lost documents res ##ur ##face to expose trump crime from 1983'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.09690533, 0.05628682, 0.03602893, -0.09992259, -0.10516657, 0.089055985, -0.00018731877, 0.107689664, 0.0018401891, -0.09801373, -0.018362742, 0.029450715, 0.025347063]
GOLD TOK: 	 [['sick']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"paris agreement ' s 1 . 5 ##c target ' only way ' to save coral reefs , says unesco"
GOLD SEQ: 	 b"paris agreement ' s 1 . 5 ##c target ' only way ' to save coral reefs , says unesco"
PRED SEQ:	 b"paris agreement ' s 1 . 5 ##c target ' only way ' to save coral reefs , says unesco"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.23325771, 0.13488667, 0.00051410496, 0.09210909, 0.23572858, 0.13151735, 0.10861484, 0.3749308, 0.40306768, 0.06783857, 0.21117121, 0.044276513, 0.1735718, 0.1719225, 0.18788247, 0.1975415, 0.29262576, 0.2615361, -0.02186761, 0.057206675]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'watch : scar ##am ##ucci flip ##s out over white house leaks , sends warning to rein ##ce pri ##eb ##us out over white house leaks , sends a rational ##e to'
GOLD SEQ: 	 b'watch : scar ##am ##ucci flip ##s out over white house leaks , sends ominous warning to rein ##ce pri ##eb ##us'
PRED SEQ:	 b'watch : scar ##am ##ucci flip ##s out over white house leaks , sends warning to rein ##ce pri ##eb ##us out over white house leaks , sends a position to rein ##ce pri ##eb ##us out over white house leaks ,'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
PRED DIST: 	 [0.08693487, 0.093780234, 0.7542265, 0.8172379, 0.47897467, 0.18042433, 0.23107158, 0.2985052, 0.22427793, 0.28819454, 0.30488002, 0.0612595, 0.5037818, 0.38238743, 0.3008712, 0.3301625, 0.51053, 0.21022563, 0.40344143, 0.4278982, 0.28573495, 0.14937198, 0.18599036, 0.35049838, 0.467661, 0.19517238, 0.48674268, 0.20455256, 0.21665299, 0.27598822, -0.002843991, 0.19810602]
GOLD TOK: 	 [['ominous']]
PRED TOK: 	 [['position'], ['rein', '##ce', 'pri', '##eb', '##us', 'out', 'over', 'white', 'house', 'leaks', ',']]
################################################################################
IN SEQ: 	 b'so i ran for congress : a sneak preview'
GOLD SEQ: 	 b'so i ran for congress : a sneak preview'
PRED SEQ:	 b'so , i ran for congress : a sneak preview'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.07140352, -0.20422181, -0.087543845, -0.13295397, -0.088887826, 0.0063554123, -0.084218055, -0.054009944, -0.086469784]
GOLD TOK: 	 []
PRED TOK: 	 [[',']]
################################################################################
IN SEQ: 	 b"the deadly folly of the next afghan ' surge '"
GOLD SEQ: 	 b"the deadly folly of the next afghan ' surge '"
PRED SEQ:	 b"the folly of the next afghan ' surge '"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.15626338, 0.1584008, 0.13794354, -0.033671938, 0.17144278, -0.0053801313, -0.16681898, -0.04707876, 0.106019184, -0.15233456]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'cnn ##s jake tap ##per rip ##s apart trump ##s lies about fake news ( video )'
GOLD SEQ: 	 b'cnn ##s jake tap ##per perfectly rip ##s apart trump ##s lies about fake news ( video )'
PRED SEQ:	 b'cnn ##s jake tap ##per rip ##s apart trump ##s lies about fake news ( video )'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.025819778, -0.026433602, 0.052139252, -0.019859806, 0.107011095, -0.075629875, -0.18086848, -0.13276096, -0.05625449, -0.022591509, 0.05708486, 0.05629261, -0.078269266, -0.14743748, 0.042375773, -0.06415738, -0.06237285]
GOLD TOK: 	 [['perfectly']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'multiple reports indicate the 2016 election results were rigged ( video )'
GOLD SEQ: 	 b'multiple reports indicate the 2016 election results were likely rigged ( video )'
PRED SEQ:	 b'multiple reports indicate the 2016 election results were rigged ( video )'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.44242105, -0.4840401, -0.32235718, 0.059700027, -0.21908283, -0.2199268, -0.16142501, -0.216341, -0.16770604, -0.38178757, -0.6536709, -0.45376617]
GOLD TOK: 	 [['likely']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'breaking : officials admit truth about russian hacking , this is what trump is hiding .'
GOLD SEQ: 	 b'breaking : officials admit ho ##rri ##fying truth about russian hacking , this is what trump is hiding .'
PRED SEQ:	 b'breaking : officials admit truth about russian hacking , this is what trump is hiding .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.015231274, -0.04345297, -0.018214338, 0.115380235, 0.13214189, 0.024713129, -0.047610104, 0.1293449, 0.28274494, 0.11611556, 0.19126284, 0.24684119, 0.03309007, 0.16258514, 0.26565158, -0.13128434]
GOLD TOK: 	 [['ho', '##rri', '##fying']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'a federal court just trump ##s chance of destroying the environment'
GOLD SEQ: 	 b'a federal court just ruined trump ##s chance of destroying the environment'
PRED SEQ:	 b'a federal court trump ##s chance of destroying the environment'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.3411051, 0.45017508, 0.3522451, 0.46879703, 0.34607115, 0.40586856, 0.38414732, 0.1630573, 0.36451784, 0.23216979, 0.2891222]
GOLD TOK: 	 [['ruined']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'sanders refuses to answer simple question about trump ##s racism ( video )'
GOLD SEQ: 	 b'sanders coward ##ly refuses to answer simple question about trump ##s racism ( video )'
PRED SEQ:	 b'sanders refuses to answer question about trump ##s racism ( video )'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.22323155, -0.15424336, -0.17748183, -0.05597862, 0.025296584, -0.00022932887, -0.12034054, -0.2043404, -0.28466117, -0.0765101, -0.253403, -0.4557058, -0.4379276]
GOLD TOK: 	 [['coward', '##ly']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'breaking : sean spice ##r resign ##s amidst ongoing scandal'
GOLD SEQ: 	 b'breaking : sean spice ##r resign ##s amidst ongoing scandal in white house'
PRED SEQ:	 b'breaking : sean spice ##r resign ##s amidst ongoing scandal'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.062258527, 0.0691337, 0.46496046, 0.26958418, 0.19906679, 0.36386824, 0.14318076, 0.11908391, 0.15203114, 0.18134889]
