################################################################################
IN SEQ: 	 b'cops in republican senate office violently assault disabled protesters ; reports of serious injuries'
GOLD TOK: 	 []
PRED TOK: 	 [['##er']]
################################################################################
IN SEQ: 	 b'house republicans just killed efforts to strip ku ##sh ##ner of his security clearance'
GOLD SEQ: 	 b'house republicans just killed efforts to strip ku ##sh ##ner of his security clearance'
PRED SEQ:	 b'house republicans killed efforts to strip ku ##sh ##ner of his security clearance'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.14425412, -0.09327722, -0.09432889, 0.013046473, -0.019474313, 0.26329046, 0.19585302, 0.3144916, 0.029795952, 0.25214618, 0.30453348, 0.20826945, 0.34049, 0.31722564]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'breaking : trump ##s sick message to come ##y should end his presidency'
GOLD SEQ: 	 b'breaking : trump ##s sick message to come ##y should end his presidency'
PRED SEQ:	 b'breaking : trump ##s message to come ##y should end his presidency'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.1962255, -0.1969303, -0.4222382, -0.32122952, -0.07913433, 0.033801913, -0.18409336, -0.2270593, -0.34787217, -0.183813, -0.06675827, -0.14356795, -0.05249034]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'germany found the perfect way to stick it to trump before g ##20 summit ; mel ##ania pissed'
GOLD SEQ: 	 b'germany found the perfect way to stick it to trump before g ##20 summit ; mel ##ania pissed'
PRED SEQ:	 b'germany found the perfect way to stick it to trump before g ##20 summit ; mel ##ania pissed'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.22042656, -0.1889037, 0.056572985, -0.08171834, -0.1147872, -0.14902306, -0.13797651, -0.21803328, -0.18761307, -0.24724263, -0.084957376, -0.044737726, -0.20518202, 0.034206826, -0.17239138, -0.18137616, -0.01939027, -0.0303787]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'leak : audio of ku ##sh ##ners ho ##rri ##fying confession emerges he must resign'
GOLD SEQ: 	 b'leak : audio of ku ##sh ##ners ho ##rri ##fying confession emerges he must resign'
PRED SEQ:	 b'leak : audio of ku ##sh ##ners confession emerges he must resign'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.00804057, 0.10413461, 0.20944901, 0.42781514, 0.30618006, -0.06493509, 0.09744905, 0.28260106, 0.3105564, 0.32086772, 0.28866723, 0.077714786, -0.0736929, 0.036203146, -0.0418894]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'breaking : kamal ##a harris turns the table on trump ##s corporate media its perfect'
GOLD SEQ: 	 b'breaking : kamal ##a harris turns the table on trump ##s corporate media its perfect'
PRED SEQ:	 b'breaking : kamal ##a harris turns the table on trump ##s corporate media its perfect'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0129677355, -0.07548363, -0.24129443, 0.033083946, 0.07438225, -0.40414912, 0.16658464, -0.065270424, -0.05726187, -0.22832641, -0.15784389, -0.034353822, -0.060639396, -0.14727215, -0.036218494]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'watch : this anti - nazi video from 1947 will give you chill ##s'
GOLD SEQ: 	 b'watch : this anti - nazi video from 1947 will give you chill ##s'
PRED SEQ:	 b'watch : this video from 1947 will give you chill ##s'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.059567347, -0.21906057, 0.15678717, 0.43676943, 0.382528, 0.5202492, 0.42100328, 0.3705083, 0.4850246, 0.25180188, 0.31804717, 0.055614084, 0.5482026, 0.35173553]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'breaking : rand paul expose ##s mitch mcconnell ##s shame ##ful secret'
GOLD SEQ: 	 b'breaking : rand paul expose ##s mitch mcconnell ##s shame ##ful secret'
PRED SEQ:	 b'breaking : rand paul expose ##s mitch mcconnell ##s secret'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.08932765, -0.09909229, -0.29223052, -0.20679578, -0.13302822, -0.4290151, -0.34408823, -0.23082827, -0.11857632, 0.03225869, -0.0036146343, 0.095116675]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'bombs ##hell : insider confirms media sitting on damn ##ing evidence to take trump down'
GOLD SEQ: 	 b'bombs ##hell : insider confirms media sitting on damn ##ing evidence to take trump down'
PRED SEQ:	 b'bombs ##hell : insider confirms media sitting on evidence to take trump down'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.018188737, 0.11696534, 0.02431044, 0.15986097, 0.05074531, 0.08051201, 0.03429506, -0.006983407, -0.027828466, 0.06541691, 0.10731828, 0.033809148, 0.069450304, 0.018652901, 0.16148154]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'trump told white su ##pre ##mac ##ists to attack protesters'
GOLD SEQ: 	 b'trump told white su ##pre ##mac ##ists to attack protesters'
PRED SEQ:	 b'trump told white su ##pre ##mac ##ists to attack protesters'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.35714948, 0.29142684, 0.6191615, 0.48434603, 0.28244764, 0.549889, 0.63410485, 0.37365365, 0.41849867, 0.34554142]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'democratic law ##makers raise pressure on epa over carl ic ##ah ##ns bio ##fu ##els role'
GOLD SEQ: 	 b'democratic law ##makers raise pressure on epa over carl ic ##ah ##ns bio ##fu ##els role'
PRED SEQ:	 b'democratic law ##makers raise pressure on epa over carl ic ##ah ##ns bio ##fu ##els role'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.035941035, 0.0012405068, 0.019172624, 0.19444115, 0.13076898, 0.018715605, 0.08650307, 0.02222471, 0.3732931, 0.41591084, 0.15142497, 0.289685, 0.54186535, 0.44454122, 0.44117758, 0.17369293]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'watch : ana navarro declares war on trump , this is going to get somebody killed'
GOLD SEQ: 	 b'watch : ana navarro declares war on trump , this is going to get somebody killed'
PRED SEQ:	 b'watch : ana navarro declares war on trump , this is going to get somebody killed'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.042026162, -0.3279748, -0.05126122, 0.13676791, -0.0243778, 0.010515217, -0.1511738, -0.2714368, -0.22811636, -0.037285045, 0.0796443, 0.03142801, 0.09221284, -0.0076829046, -0.062009707, 0.10162457]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'report : mueller hot on trump ##s trail , has built his own miniature justice department'
GOLD SEQ: 	 b'report : mueller hot on trump ##s trail , has built his own miniature justice department'
PRED SEQ:	 b'report : mueller hot on trump ##s trail , has built his own miniature justice department'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.016870938, -0.14448595, -0.16907042, 0.05032204, -0.035414368, 0.02765777, 0.040027864, 0.11474595, -0.11275102, 0.0032730997, 0.21434258, -0.12491898, 0.042207845, 0.14144935, 0.012875803, 0.04167243]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'attention trump supporters : no , its not a good thing that putin ##s defending don ##ny'
GOLD SEQ: 	 b'attention trump supporters : no , its not a good thing that putin ##s defending don ##ny'
PRED SEQ:	 b'attention trump supporters : no , its not a good thing that putin ##s defending don ##ny'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.08530439, -0.17262024, 0.1544519, -0.20683816, -0.07657253, -0.16802786, 0.014584955, 0.06297438, 0.07537761, 0.08897081, 0.1798401, 0.051255144, -0.10887241, -0.056329355, -0.13323185, -0.36829787, -0.14404213]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'eric trump reveals how out of touch his family ##is with working america in one statement ( video )'
GOLD SEQ: 	 b'eric trump reveals how out of touch his family ##is with working america in one statement ( video )'
PRED SEQ:	 b'eric trump claims how out of touch his family ##is with working america in one statement ( video )'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.054888822, 0.06598846, 0.28971237, 0.27736592, 0.3744438, 0.53165835, 0.43668035, 0.1738684, 0.12424752, 0.3236782, 0.16238019, -0.06906789, 0.18795916, 0.3775875, 0.299394, 0.22832404, 0.066196196, 0.1469422, 0.46312693]
GOLD TOK: 	 []
PRED TOK: 	 [['claims']]
################################################################################
IN SEQ: 	 b'trump just sent ivan ##ka to do a job she has no prior knowledge of ; this is outrageous'
GOLD SEQ: 	 b'trump just sent ivan ##ka to do a job she has no prior knowledge of ; this is outrageous'
PRED SEQ:	 b'trump just sent ivan ##ka to do a job she has no prior knowledge of ; this is disputed'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.14784506, -0.10012838, -0.048508465, -0.43255207, -0.19332299, 0.16870598, 0.012116462, -0.04445088, -0.13181476, -0.19554819, 0.25655118, 0.36502632, 0.27579656, 0.34574562, 0.11529541, -0.320337, -0.25956446, -0.059589133, -0.18491893]
GOLD TOK: 	 []
PRED TOK: 	 [['disputed']]
################################################################################
IN SEQ: 	 b'breaking : missing link in trump - russia scandal uncovered trump ##s finally been exposed'
GOLD SEQ: 	 b'breaking : missing link in trump - russia scandal uncovered trump ##s finally been exposed'
PRED SEQ:	 b'breaking : missing link in trump - russia scandal uncovered trump ##s finally been exposed'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.09909768, -0.05384566, 0.018065616, 0.22782849, 0.122041196, -0.052199528, 0.03368868, 0.12638384, 0.10113614, 0.01670447, -0.09160088, -0.19282049, -0.07246116, -0.0118541345, -0.016302288]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'trump supporters give interview that says it all about how stupid they are'
GOLD SEQ: 	 b'trump supporters give interview that says it all about how stupid they are'
PRED SEQ:	 b'trump supporters give interview that says it all about how stupid they are'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.11501463, 0.15968016, 0.103334054, 0.11888242, 0.36873853, 0.29330838, 0.42212325, 0.29881823, 0.41117972, 0.10956655, 0.27840522, -0.05861134, 0.17463914]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'outbreak of han ##ta ##virus infections kills three in washington state'
GOLD SEQ: 	 b'outbreak of han ##ta ##virus infections kills three in washington state'
PRED SEQ:	 b'outbreak of han ##ta ##virus infections'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.09721775, 0.040701322, -0.009640481, 0.09006261, 0.05149331, 0.087238595, 0.05580978, 0.06445438, 0.0846906, 0.054895636, 0.023490883]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'thousands of americans will die : bernie sanders destroys bar ##bari ##c trump ##care bill'
GOLD SEQ: 	 b'thousands of americans will die : bernie sanders destroys bar ##bari ##c trump ##care bill'
PRED SEQ:	 b'thousands of americans will die : bernie sanders destroys trump ##care bill'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.044285417, 0.16104196, 0.07372378, 0.056060113, 0.10907547, 0.042139195, -0.16069926, -0.06481705, 0.028149158, -0.008144155, 0.0801806, 0.15826063, 0.05294554, 0.06674194, 0.045632888]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'fox news hosts joke about children dying of cancer during trump ##care debate'
GOLD SEQ: 	 b'fox news hosts joke about children dying of cancer during trump ##care debate'
PRED SEQ:	 b'fox news hosts a joke about children dying of cancer during trump ##care debate about children dying of cancer during trump ##care debate'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.40637594, 0.03219968, 0.04659386, 0.09464118, 0.18952711, 0.09673747, 0.13328126, 0.15245688, 0.18195152, 0.18167818, -0.13577159, -0.07515614, 0.010201015]
GOLD TOK: 	 []
PRED TOK: 	 [['a'], ['about', 'children', 'dying', 'of', 'cancer', 'during', 'trump', '##care', 'debate']]
################################################################################
IN SEQ: 	 b'watch : eric trump throws a hiss ##y fit about the clinton ##s on fox news'
GOLD SEQ: 	 b'watch : eric trump throws a hiss ##y fit about the clinton ##s on fox news'
PRED SEQ:	 b'watch : eric trump throws a hiss ##y fit about the clinton ##s on fox news'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.13152768, -0.15415034, -0.20246029, -0.114790276, -0.114166826, -0.09035986, -0.002208732, 0.24097964, -0.1196341, -0.0646839, 0.33414054, 0.014895335, -0.07467335, -0.3714427, -0.6025199, -0.5915524]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'leaked : trump f * ck ##ed over top congress ##men in the worst way ; here ##s how'
GOLD SEQ: 	 b'leaked : trump f * ck ##ed over top congress ##men in the worst way ; here ##s how'
PRED SEQ:	 b'leaked : trump captured over top congress ##men in the worst way ; here ##s how'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.4201709, -0.3006139, -0.5661895, -0.230713, -0.63359416, -0.175934, -0.18256031, -0.3445702, -0.25664967, -0.40448105, -0.38296816, -0.04327345, 0.06615804, -0.11388029, -0.19541356, -0.240076, 0.11844511, -0.31707445, -0.1807513]
GOLD TOK: 	 []
PRED TOK: 	 [['captured']]
################################################################################
IN SEQ: 	 b'famous astronaut photo ##bo ##mbs trump ##s press conference and its epic ( video )'
GOLD SEQ: 	 b'famous astronaut photo ##bo ##mbs trump ##s press conference and its epic ( video )'
PRED SEQ:	 b'astronaut photo ##bo ##mbs trump ##s press conference and its epic ( video )'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.071659, -0.062297657, 0.14695545, 0.04770395, -0.07375161, 0.19587162, 0.1282681, 0.14800432, 0.15183549, 0.2517482, 0.23722653, 0.24777222, 0.13698173, 0.2624893, 0.2195433]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'mcconnell publicly rejects trump ##s healthcare idea , inevitable go ##p civil war has begun'
GOLD SEQ: 	 b'mcconnell publicly rejects trump ##s healthcare idea , inevitable go ##p civil war has begun'
PRED SEQ:	 b'mcconnell publicly rejects trump ##s healthcare idea , go ##p civil war has begun'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.16606505, 0.25654417, 0.24338911, 0.13715383, 0.2438134, 0.061897166, 0.14764743, 0.16382279, 0.11455481, 0.049329214, 0.14652324, 0.14962712, 0.22816172, 0.04754057, 0.059761606]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'se ##mp ##er fi : trump just got drilled in core values by the commandant of the marines'
GOLD SEQ: 	 b'se ##mp ##er fi : trump just got drilled in core values by the commandant of the marines'
PRED SEQ:	 b'se ##mp ##er fi : trump just got drilled in core values by the commandant of the marines'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.17479551, -0.022385128, 0.21558931, -0.027719464, -0.08693322, -0.23342372, -0.0927165, -0.018348008, 0.17165972, 0.098126456, 0.07511994, 0.07154332, 0.19017649, 0.35967773, 0.099889144, 0.24176666, 0.4351233, -0.14562552]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'of all the awful things about trump , here are the two things that terri ##fy me most'
GOLD SEQ: 	 b'of all the awful things about trump , here are the two things that terri ##fy me most'
PRED SEQ:	 b'of all the things about trump , here are the two things that terri ##fy me most'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.054146886, -0.014431417, -0.021736592, -0.31826955, 0.06652805, -0.338494, -0.40534335, 0.21792735, 0.1598745, 0.33408174, 0.5586497, 0.48918825, 0.09596571, 0.14073351, 0.5695164, 0.6885619, 0.33820137, 0.29503816]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'trump just t ##wee ##ted about hurricane harvey and humiliated himself'
GOLD SEQ: 	 b'trump just t ##wee ##ted about hurricane harvey and humiliated himself'
PRED SEQ:	 b'trump just t ##wee ##ted about hurricane harvey and humiliated himself'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.24450207, -0.09230749, -0.11321828, -0.27097344, -0.06974299, -0.028526902, -0.01654163, 0.029043727, 0.1181982, 0.08215916, 0.032977358]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'cnn ##s sanchez : is barely interested trump ##s twitter circus how he hides his ignorance about policy ?'
GOLD SEQ: 	 b'cnn ##s sanchez : is barely interested trump ##s twitter circus how he hides his ignorance about policy ?'
PRED SEQ:	 b'cnn ##s sanchez : is barely interested trump ##s twitter story how he hides his ignorance about policy ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.2842473, -0.27409536, -0.21241263, -0.37784082, -0.14121939, -0.11357342, 0.12410483, -0.21958476, -0.28605378, -0.2760401, -0.22122106, -0.07286679, -0.09023426, 0.07014625, -0.022408899, 0.040589936, -0.054404907, -0.22056206, -0.23465309]
GOLD TOK: 	 []
PRED TOK: 	 [['story']]
################################################################################
IN SEQ: 	 b'we can afford trans soldiers : $ 134 billion spent on via ##gra , gi ##tm ##o , and 3 other ridiculous things'
GOLD SEQ: 	 b'we can afford trans soldiers : $ 134 billion spent on via ##gra , gi ##tm ##o , and 3 other ridiculous things'
PRED SEQ:	 b'we can afford trans soldiers : $ 134 billion spent on via ##gra , gi ##tm ##o , and 3 other things'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.13500397, -0.11178139, 0.08598256, 0.11509913, 0.14648953, 0.19459921, 0.12648408, -0.009561971, 0.21355088, 0.37882847, 0.30415943, 0.18253928, 0.3499666, 0.16544786, 0.2950899, -0.09058571, 0.24584521, 0.117306165, 0.38207212, 0.17690495, 0.1113978, -0.02354452, 0.14469497]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'mel ##ania trump has been trapped by violent protest ##ors & is unable to attend the g ##20 summit today'
GOLD SEQ: 	 b'mel ##ania trump has been trapped by violent protest ##ors & is unable to attend the g ##20 summit today'
PRED SEQ:	 b'mel ##ania trump has been trapped by protest ##ors & is unable to attend the g ##20 summit today'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.0032365322, 0.2074607, 0.17350826, 0.1433498, 0.33036256, 0.2092727, 0.2057757, 0.29530624, 0.26833445, 0.19817166, 0.04627326, 0.21986105, 0.2697642, 0.3210858, 0.16791946, 0.32121238, 0.317105, 0.16171917, 0.17253149, -0.018817663]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'fox news reporter abruptly leaves press briefing with a big f * ck you to hu ##ck ##abe ##e sanders'
GOLD SEQ: 	 b'fox news reporter abruptly leaves press briefing with a big f * ck you to hu ##ck ##abe ##e sanders'
PRED SEQ:	 b'fox news reporter abruptly leaves press briefing with a big f * ck you to hu ##ck ##abe ##e sanders'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.05719077, -0.065043405, 0.02174025, 0.07478978, 0.114772, 0.012626331, 0.17398247, 0.22112557, 0.16842899, 0.11750659, 0.11855747, -0.003754288, -0.021202132, 0.12474854, 0.04107284, 0.11420876, -0.060150415, 0.09660846, 0.3255868, -0.015064672]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'right - wing lunatic alex jones now calling for civil war against all liberals'
GOLD SEQ: 	 b'right - wing lunatic alex jones now calling for civil war against all liberals'
PRED SEQ:	 b'right - wing activist alex jones now calling for civil war against all liberals'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.1333755, -0.07056844, -0.17159896, -0.07741749, -0.04394137, 0.09194502, -0.004258901, -0.22231446, -0.19680703, -0.020342723, 0.15806311, 0.11159097, -0.15727042, -0.19565699]
GOLD TOK: 	 []
PRED TOK: 	 [['activist']]
################################################################################
IN SEQ: 	 b'trump w ##hine ##s about fake news on global stage , bra ##gs about the apprentice ( video )'
GOLD SEQ: 	 b'trump w ##hine ##s about fake news on global stage , bra ##gs about the apprentice ( video )'
PRED SEQ:	 b'trump claims about fake news on global stage , bra ##gs about the apprentice ( video )'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.1473014, -0.016262531, -0.018297613, 0.109062955, 0.090816475, -0.11147097, -0.019502178, 0.09419891, 0.15807474, 0.20120515, 0.2295309, 0.0069144964, 0.1376197, -0.014201328, 0.5489168, 0.3577312, 0.21641447, 0.5521238, 0.6706255]
GOLD TOK: 	 []
PRED TOK: 	 [['claims']]
################################################################################
IN SEQ: 	 b'in the face of climate crisis , trump has become an international par ##iah : sad !'
GOLD SEQ: 	 b'in the face of climate crisis , trump has become an international par ##iah : sad !'
PRED SEQ:	 b'in the face of climate crisis , trump has become an international par ##iah : sad !'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.19989027, 0.11219569, -0.037246063, -0.18082939, 0.025174111, 0.14042072, -0.29941225, -0.19577423, -0.16947746, 0.2128436, -0.16456708, -0.01879101, -0.067459136, 0.04483033, -0.16229385, 0.19658099, -0.050777055]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'w ##h blinds ##ides pentagon with new statement on syria in desperate bid to distract from russia'
GOLD SEQ: 	 b'w ##h blinds ##ides pentagon with new statement on syria in desperate bid to distract from russia'
PRED SEQ:	 b'w ##h blinds pentagon with new statement on syria in desperate bid to distract from russia'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.20652787, -0.041173697, 0.059882224, 0.10268519, -0.08557541, 0.08901696, 0.17658131, 0.18185742, 0.14538547, 0.061281756, 0.29398125, 0.22849691, 0.2040841, 0.25273266, 0.100378506, 0.068894394, -0.002156444]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'republicans revolt as # 2 go ##p senator defend ##s mitch mcconnell with shocking statement on trump !'
GOLD SEQ: 	 b'republicans revolt as # 2 go ##p senator defend ##s mitch mcconnell with shocking statement on trump !'
PRED SEQ:	 b'republicans revolt as # 2 go ##p senator defend ##s mitch mcconnell with statement on trump !'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.13809101, 0.06735793, -0.1453264, -0.024959065, 0.3163828, 0.0011740439, 0.08293464, 0.1585457, 0.13513067, 0.0940472, -0.007676773, -0.035092354, 0.16828091, 0.10251036, 0.26189435, -0.037309453, 0.028871961, -0.15993796]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'reporter def ##ies white house rules with this one courageous move ; internet hail ##s her a hero ( t ##wee ##ts )'
GOLD SEQ: 	 b'reporter def ##ies white house rules with this one courageous move ; internet hail ##s her a hero ( t ##wee ##ts )'
