################################################################################
IN SEQ: 	 b'cops in republican senate office assault disabled protesters ; reports of serious injuries'
PRED SEQ:	 b'trump about fake news on global stage , bra ##gs about the apprentice ( video )'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.010540857, 0.77512735, 0.72318393, 0.00014119495, 0.07082631, 9.537462e-05, 8.250104e-06, 0.0018676398, 1.0697785e-05, 6.9204525e-06, 0.050462004, 0.14474143, 8.480174e-05, 3.0310591e-06, 1.1788723e-05, 2.8141149e-06, 2.2601198e-05, 1.8470807e-06]
GOLD TOK: 	 [['##s']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'in the face of climate crisis , trump has become an international : sad !'
GOLD SEQ: 	 b'in the face of climate crisis , trump has become an international par ##iah : sad !'
PRED SEQ:	 b'in the face of climate crisis , trump has become an international : sad !'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.012285958, 0.000890108, 0.024887193, 0.000103041384, 0.0012185554, 0.06110765, 0.0001386939, 0.021095186, 0.10315075, 0.05503184, 0.092609175, 0.19115257, 0.026556188, 0.22261943, 0.04858193]
GOLD TOK: 	 [['par', '##iah']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'w ##h blinds with new statement on syria in desperate bid to distract from russia'
GOLD SEQ: 	 b'w ##h blinds ##ides pentagon with new statement on syria in desperate bid to distract from russia'
PRED SEQ:	 b'w ##h blinds with new statement on syria in bid to distract from russia'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0022300093, 0.012515537, 0.014490411, 5.536804e-05, 0.000305291, 0.0007280164, 0.00013247153, 0.0007685108, 0.0010057186, 0.81905895, 0.004056356, 4.283827e-05, 0.005199333, 6.267128e-05, 0.0010253016]
GOLD TOK: 	 [['##ides', 'pentagon']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'republicans revolt as # 2 go ##p senator defend ##s mitch mcconnell with statement on trump !'
GOLD SEQ: 	 b'republicans revolt as # 2 go ##p senator defend ##s mitch mcconnell with shocking statement on trump !'
PRED SEQ:	 b'republicans as # 2 go ##p senator defend ##s mitch mcconnell with statement on trump !'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [4.5937886e-05, 0.99603975, 6.5169143e-06, 5.0163612e-06, 4.0804866e-06, 4.163194e-05, 7.981444e-06, 5.8804526e-06, 0.00023132926, 0.0002986077, 1.3631974e-06, 1.0213112e-06, 1.6355278e-05, 7.370294e-05, 4.7172384e-06, 1.0288395e-05, 6.96189e-05]
GOLD TOK: 	 [['shocking']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'reporter def ##ies white house rules with this one move ; internet hail ##s her a hero ( t ##wee ##ts )'
GOLD SEQ: 	 b'reporter def ##ies white house rules with this one courageous move ; internet hail ##s her a hero ( t ##wee ##ts )'
PRED SEQ:	 b"reporter def ##ies white house rules with this one move ; internet hail ##s her a person ' s ( t ##wee ##ts )"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.021266144, 0.19128616, 0.2552015, 0.00045427974, 1.717363e-05, 0.00015633585, 6.545527e-05, 0.0019739196, 0.010298595, 0.0009364791, 0.00014547241, 0.021885615, 0.16296515, 0.13705628, 0.013873802, 0.0115560675, 0.25626025, 2.4723096e-05, 1.4788515e-05, 4.4366283e-05, 4.0367275e-05, 5.7484417e-06]
GOLD TOK: 	 [['courageous']]
PRED TOK: 	 [['person', "'", 's']]
################################################################################
IN SEQ: 	 b'breaking : top do ##j official resign ##s , leaves letter exposing trump corruption'
GOLD SEQ: 	 b'breaking : top do ##j official resign ##s , leaves damn ##ing letter exposing trump corruption'
PRED SEQ:	 b'breaking : top do ##j official resign ##s , leaves letter trump stated'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.00024899218, 1.7696597e-05, 0.15466644, 3.7747188e-05, 9.205506e-05, 0.004083363, 0.00023823167, 0.00013073477, 4.208633e-06, 5.7482463e-05, 0.00013386627, 0.48913908, 0.002138895, 0.17426136]
GOLD TOK: 	 [['damn', '##ing']]
PRED TOK: 	 [['stated']]
################################################################################
IN SEQ: 	 b'trump family just received news about their businesses ; this is pretty bad'
GOLD SEQ: 	 b'trump family just received devastating news about their businesses ; this is pretty bad'
PRED SEQ:	 b'trump family just received news about their businesses ; this is pretty strong'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.007702882, 0.004355119, 0.0040909727, 4.0791012e-05, 0.00011986264, 6.3372945e-06, 0.00019221613, 0.0005859847, 4.3409687e-05, 0.002251017, 0.095193364, 0.37803972, 0.5428739]
GOLD TOK: 	 [['devastating']]
PRED TOK: 	 [['strong']]
################################################################################
IN SEQ: 	 b'the rock has officially filed his 2020 presidential campaign'
GOLD SEQ: 	 b'the rock has officially filed his 2020 presidential campaign'
PRED SEQ:	 b'the rock has officially filed his 2020 presidential campaign'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0050352393, 0.036417488, 0.0112126265, 0.4847425, 0.04465912, 0.10962075, 0.0264258, 0.002452385, 0.0019767503]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'jeff sessions as attempt to defend trump ##s non - reaction to nazis goes terribly wrong ( video )'
GOLD SEQ: 	 b'jeff sessions cr ##umble ##s as attempt to defend trump ##s non - reaction to nazis goes terribly wrong ( video )'
PRED SEQ:	 b'jeff sessions as attempt to defend trump ##s non - nazis to nazis goes terribly wrong ( video )'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [2.2967397e-05, 1.0950815e-05, 0.0002606132, 0.0013519033, 4.142547e-06, 0.00078319805, 0.0016369717, 0.00039201934, 0.86575145, 0.9515058, 0.821151, 9.780534e-06, 0.0070810933, 0.0050893384, 0.008317556, 5.988387e-05, 4.7441995e-06, 0.00039365908, 1.7806622e-06]
GOLD TOK: 	 [['cr', '##umble', '##s']]
PRED TOK: 	 [['nazis']]
################################################################################
IN SEQ: 	 b'trump bail ##s on republicans , begs democrats to help him win ( details )'
GOLD SEQ: 	 b'trump bail ##s on republicans , secretly begs democrats to help him win ( details )'
PRED SEQ:	 b'trump bail ##s on republicans , democrats to help him win ( details )'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0023569814, 0.030736359, 0.008683777, 0.00033801168, 0.0068547367, 4.6501133e-05, 0.811717, 0.0059993514, 3.4654575e-05, 0.00012921827, 0.0007708946, 0.00018032263, 3.043584e-06, 0.00023420303, 2.0253422e-06]
GOLD TOK: 	 [['secretly']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'former d ##nc chair : russia may have installed trump with votes votes'
GOLD SEQ: 	 b'former d ##nc chair : russia may have installed trump with fa ##ls ##ified votes'
PRED SEQ:	 b'former d ##nc chair : russia may have installed trump with votes votes'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.03012798, 0.0043218574, 0.0019562573, 0.1017581, 0.0008568848, 0.1318523, 0.16163835, 0.015542482, 0.15631038, 0.02263808, 0.0027632404, 0.021512661, 0.013735291]
GOLD TOK: 	 [['fa', '##ls', '##ified']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'breaking : lost documents res ##ur ##face to expose trump crime from 1983'
GOLD SEQ: 	 b'breaking : lost documents res ##ur ##face to expose sick trump crime from 1983'
PRED SEQ:	 b'breaking : lost documents res ##ur ##face to trump crime from 1983'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.4059994e-05, 4.1633e-06, 0.00029261, 2.277998e-05, 0.00018855368, 8.665229e-05, 0.00019860984, 6.414711e-06, 0.77079314, 0.0008750819, 0.08766996, 3.5603276e-05, 8.471367e-06]
GOLD TOK: 	 [['sick']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"paris agreement ' s 1 . 5 ##c target ' only way ' to save coral reefs , says unesco"
GOLD SEQ: 	 b"paris agreement ' s 1 . 5 ##c target ' only way ' to save coral reefs , says unesco"
PRED SEQ:	 b"paris agreement ' s 1 . 5 ##c target ' only way ' to save coral reefs , says unesco"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.041272525, 0.011198574, 6.911874e-05, 0.00027505902, 0.00015048904, 3.3764776e-05, 0.0007349222, 0.022898609, 0.15466993, 4.3123582e-05, 0.00028031893, 9.6913085e-05, 2.101476e-05, 0.00023799443, 0.37513652, 0.0009777495, 0.00024823388, 7.1376126e-05, 0.31764668, 0.030312514]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'watch : scar ##am ##ucci flip ##s out over white house leaks , sends warning to rein ##ce pri ##eb ##us out over white house leaks , sends a rational ##e to'
GOLD SEQ: 	 b'watch : scar ##am ##ucci flip ##s out over white house leaks , sends ominous warning to rein ##ce pri ##eb ##us'
PRED SEQ:	 b'watch : scar ##am ##ucci out over white house leaks , sends warning to rein ##ce pri ##eb ##us out over white house leaks , sends a rational ##e to'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
PRED DIST: 	 [0.017090868, 0.0002842281, 0.00027578665, 5.2736144e-05, 0.00027329507, 0.43322372, 0.24384399, 0.016954977, 0.00018797425, 9.342543e-05, 9.825315e-06, 0.0058557424, 3.7252048e-05, 0.0016780491, 0.0412177, 0.00013059122, 0.06462145, 0.05073662, 0.010126242, 0.02990164, 0.015241011, 0.006414105, 7.816058e-05, 2.9890522e-05, 5.9208783e-06, 0.001909755, 3.1743588e-05, 0.033560492, 0.010556723, 0.14104892, 0.40235814, 0.00011804599]
GOLD TOK: 	 [['ominous']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'so i ran for congress : a sneak preview'
GOLD SEQ: 	 b'so i ran for congress : a sneak preview'
PRED SEQ:	 b'so i ran for congress : a sneak preview'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.06735395, 0.56095314, 0.010454425, 0.0028148124, 0.11926604, 0.0062810206, 0.0014975286, 0.1626648, 0.0053387773]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"the deadly folly of the next afghan ' surge '"
GOLD SEQ: 	 b"the deadly folly of the next afghan ' surge '"
PRED SEQ:	 b"the deadly folly of the next afghan ' surge '"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0002624557, 0.3084164, 0.60588574, 2.4523639e-05, 1.2113053e-05, 9.809126e-05, 0.0032368002, 7.649732e-06, 4.804804e-05, 7.121456e-06]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'cnn ##s jake tap ##per rip ##s apart trump ##s lies about fake news ( video )'
GOLD SEQ: 	 b'cnn ##s jake tap ##per perfectly rip ##s apart trump ##s lies about fake news ( video )'
PRED SEQ:	 b'cnn ##s jake tap ##per rip ##s apart trump lies about fake news ( video )'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.17357105, 0.2681295, 0.0055399775, 0.00071401405, 0.00056791, 0.112796254, 0.117743336, 0.017575294, 0.2806125, 0.41674414, 0.20634815, 0.00077809126, 0.023378858, 0.00011313509, 4.6361165e-05, 0.0020516415, 2.2204047e-05]
GOLD TOK: 	 [['perfectly']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'multiple reports indicate the 2016 election results were rigged ( video )'
GOLD SEQ: 	 b'multiple reports indicate the 2016 election results were likely rigged ( video )'
PRED SEQ:	 b'multiple reports indicate the 2016 election results were rigged ( video )'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0224345, 0.00589315, 0.06775406, 5.899793e-06, 6.844323e-05, 2.9781973e-05, 7.8900826e-05, 0.026338112, 0.8859108, 6.0636594e-05, 0.005861591, 1.7257984e-05]
GOLD TOK: 	 [['likely']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'breaking : officials admit truth about russian hacking , this is what trump is hiding .'
GOLD SEQ: 	 b'breaking : officials admit ho ##rri ##fying truth about russian hacking , this is what trump is hiding .'
PRED SEQ:	 b'breaking : officials admit truth about russian hacking , this is what trump is hiding .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.020106655, 0.001989774, 0.041172914, 0.07134016, 0.17693882, 6.9725866e-05, 0.036571156, 0.09752542, 2.7600232e-05, 0.01746804, 0.0049911803, 0.0029629585, 0.0018870188, 0.0030071866, 0.24552393, 1.4610064e-05]
GOLD TOK: 	 [['ho', '##rri', '##fying']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'a federal court just trump ##s chance of destroying the environment'
GOLD SEQ: 	 b'a federal court just ruined trump ##s chance of destroying the environment'
PRED SEQ:	 b'a federal court trump ##s chance of destroying the environment'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [5.923104e-06, 3.918915e-06, 1.8107435e-06, 0.99289155, 0.0004679316, 6.87217e-05, 0.00010352574, 1.5925552e-06, 7.5107055e-05, 2.3903715e-06, 1.1385411e-05]
GOLD TOK: 	 [['ruined']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'sanders refuses to answer simple question about trump ##s racism ( video )'
GOLD SEQ: 	 b'sanders coward ##ly refuses to answer simple question about trump ##s racism ( video )'
PRED SEQ:	 b'sanders refuses to answer simple question about trump ##s racism ( video )'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.00044050254, 0.002085739, 7.915504e-06, 5.1072533e-05, 0.9493613, 9.709937e-05, 0.000114610404, 0.009636132, 0.008691051, 0.0044955835, 4.5221063e-06, 0.00025187916, 1.7193256e-06]
GOLD TOK: 	 [['coward', '##ly']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'breaking : sean spice ##r resign ##s amidst ongoing scandal'
GOLD SEQ: 	 b'breaking : sean spice ##r resign ##s amidst ongoing scandal in white house'
PRED SEQ:	 b'breaking : sean spice ##r resign ##s amidst ongoing'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0006719407, 7.205796e-05, 1.4132883e-05, 8.554948e-06, 1.0051006e-05, 0.0023816854, 0.0047360836, 0.002018599, 0.0061422274, 0.89850307]
GOLD TOK: 	 [['in', 'white', 'house']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'criminal : indiana go ##p makes move to steal elections'
GOLD SEQ: 	 b'criminal : indiana go ##p makes ho ##rri ##fying move to steal elections'
PRED SEQ:	 b'criminal : indiana go ##p makes move to take elections'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [8.11897e-06, 1.8251993e-06, 2.858777e-06, 1.3282604e-06, 1.4852079e-06, 2.8657018e-06, 1.0375082e-05, 3.44287e-06, 0.99442106, 4.871372e-06]
GOLD TOK: 	 [['ho', '##rri', '##fying']]
PRED TOK: 	 [['take']]
################################################################################
IN SEQ: 	 b'u . s . job growth accelerate ##s ; guess what president made that happen'
GOLD SEQ: 	 b'u . s . job growth accelerate ##s ; guess what president made that happen'
PRED SEQ:	 b'u . s . job growth accelerate ##s ; guess what president made that happen'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.010261156, 0.00035490954, 0.0008690158, 0.0009994631, 0.005315265, 0.005802155, 0.105987795, 0.106056914, 0.0021159863, 0.12262541, 0.03312259, 0.46426395, 0.118306614, 0.0012070517, 0.0088485675]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'judge stands up to cry baby leader charles can ##t ##well after he is taken into custody'
GOLD SEQ: 	 b'judge stands up to cry baby neo - nazi leader charles can ##t ##well after he is taken into custody'
PRED SEQ:	 b'judge stands up to cry baby leader charles can ##t ##well after he is taken into custody'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0033482553, 0.0005171598, 6.0932976e-05, 8.600861e-05, 0.2023408, 0.15836231, 0.47871396, 7.597877e-05, 1.6526914e-05, 2.5126645e-05, 1.7471406e-05, 1.3913511e-05, 2.949225e-05, 1.8350609e-05, 0.00014134868, 4.5701304e-06, 7.400493e-05]
GOLD TOK: 	 [['neo', '-', 'nazi']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'watch : artist expose ##s trump jr . s corruption in a hot new song its good'
GOLD SEQ: 	 b'watch : artist expose ##s trump jr . s corruption in a hot new song its shocking ##ly good'
PRED SEQ:	 b'watch : artist trump jr . s corruption in a hot new song its good new song'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.00028882665, 3.680469e-05, 0.00036393406, 0.6082566, 0.40857646, 5.5046108e-05, 7.542184e-05, 1.03730235e-05, 0.00021792247, 0.031386185, 1.4490564e-05, 1.0405997e-05, 0.0020737932, 3.920266e-05, 1.1273552e-05, 0.006287235, 0.024625424]
GOLD TOK: 	 [['shocking', '##ly']]
PRED TOK: 	 [['new', 'song']]
################################################################################
IN SEQ: 	 b'trump jr . makes faux pas like a buff ##oon & gets his a * * handed to him'
GOLD SEQ: 	 b'trump jr . makes amateur faux pas like a buff ##oon & gets his a * * handed to him'
PRED SEQ:	 b'trump jr . makes faux pas like a * & gets his a * * handed to him'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0070289276, 0.00056852447, 0.0008353689, 0.05848382, 0.16989209, 0.060627446, 0.015523648, 0.014359419, 0.74712294, 0.5316562, 0.008261305, 0.0058872965, 0.016074838, 0.027846448, 0.025490295, 0.032847393, 0.02349913, 0.00049135456, 0.0064799753]
GOLD TOK: 	 [['amateur']]
PRED TOK: 	 [['*']]
################################################################################
IN SEQ: 	 b'paul ryan searches for a new focus amid russia scandal ; becomes white house fashion adviser'
GOLD SEQ: 	 b'paul ryan desperately searches for a new focus amid russia scandal ; becomes white house fashion adviser'
PRED SEQ:	 b'paul ryan searches for a new focus amid russia ; becomes white house fashion adviser'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.00022250437, 7.604378e-05, 0.00043198117, 1.39406575e-05, 1.833184e-05, 8.0376674e-05, 0.00022689578, 0.056403212, 0.01563675, 0.8642613, 4.8170074e-05, 0.0011134273, 6.578358e-06, 3.1059612e-06, 3.201733e-05, 0.000106683605]
GOLD TOK: 	 [['desperately']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'trump brothers just went after the media and it back ##fires'
GOLD SEQ: 	 b'trump brothers just went after the media and it major ##ly back ##fires'
PRED SEQ:	 b'trump brothers went after the media and it back ##fires'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.12307607, 0.19126159, 0.33327255, 0.0051162285, 0.0022578097, 0.0003785879, 0.03127214, 0.00081126776, 0.0065971827, 0.11709129, 0.1783373]
GOLD TOK: 	 [['major', '##ly']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'michelle obama res ##ur ##face ##d to show mel ##ania how a real first lady acts'
GOLD SEQ: 	 b'michelle obama just res ##ur ##face ##d to show mel ##ania how a real first lady acts'
PRED SEQ:	 b'michelle obama res ##ur ##face ##d to show mel ##ania how a real first lady'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0035271957, 0.002918091, 0.3269895, 0.09398696, 0.1870667, 0.3261211, 0.0006945837, 0.0049520894, 0.043989602, 0.07134842, 0.03739482, 0.0005769435, 0.050654087, 0.00056976534, 0.00071962934, 0.13934484]
GOLD TOK: 	 [['just']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'trump just finally t ##wee ##ted about purple heart day and it will piss you off you'
GOLD SEQ: 	 b'trump just finally t ##wee ##ted about purple heart day and it will surely piss you off'
PRED SEQ:	 b'trump just t ##wee ##ted about purple heart day and it will piss you off you'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.07109164, 0.077966, 0.4492548, 7.566173e-05, 0.00048263778, 0.00029393277, 0.00021255633, 0.005544091, 0.0008270543, 0.0017604437, 0.0005015234, 0.021916369, 0.099466346, 0.004061596, 0.006969241, 0.0052854638, 0.16199018]
GOLD TOK: 	 [['surely']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'trump launches alternative facts real news show and might have just invented lie porn'
GOLD SEQ: 	 b'trump launches alternative facts real news show and might have just invented lie porn'
PRED SEQ:	 b'trump launches alternative facts real news show and might have just invented lie porn'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.023939941, 0.09550072, 0.043639895, 0.08964249, 0.07916868, 0.0007095615, 0.0036762485, 0.0006970941, 0.08433366, 0.0015779053, 0.03840468, 0.02331506, 0.27348214, 0.1758755]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'eric trump decided to t ##wee ##t something stupid today ; the internet makes him pay'
GOLD SEQ: 	 b'eric trump decided to t ##wee ##t something really stupid today ; the internet makes him pay'
PRED SEQ:	 b'eric trump decided to t ##wee ##t something today ; the internet makes him pay'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.01143888, 0.0010870632, 0.003711644, 1.869058e-05, 0.00017892437, 0.0019461338, 0.0011722909, 0.05254256, 0.50093395, 0.0077316263, 0.0005461046, 0.0010551548, 0.0008945815, 0.30566764, 0.006947877, 0.053277135]
GOLD TOK: 	 [['really']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'trump son - in - law ku ##sh ##ner attempted to buy national en ##qui ##rer : report'
GOLD SEQ: 	 b'trump son - in - law ku ##sh ##ner attempted to buy scandal - mon ##ger ##ing national en ##qui ##rer : report'
PRED SEQ:	 b'trump son - in - law ku ##sh ##ner attempted to buy national en ##qui ##rer : report'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.010698889, 0.031495467, 0.0010994268, 0.00051445497, 0.0011606298, 0.00042783574, 0.00067356974, 0.0011097541, 0.000152567, 0.25832847, 0.0011561369, 0.4913009, 2.507365e-05, 5.806553e-06, 8.118854e-06, 4.628184e-06, 0.000104290666, 6.0977844e-05]
GOLD TOK: 	 [['scandal', '-', 'mon', '##ger', '##ing']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'new poll shows just how much republicans'
GOLD SEQ: 	 b'new poll shows just how much republicans hate higher education'
PRED SEQ:	 b'new poll shows how much republicans'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0014436144, 3.5654382e-05, 0.0051200553, 0.88057476, 6.96719e-05, 0.0005724764, 0.009406025]
GOLD TOK: 	 [['hate', 'higher', 'education']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'the whole thing is tar ##nished : trump has already up the process of getting a new fbi director'
GOLD SEQ: 	 b'the whole thing is tar ##nished : trump has already foul ##ed up the process of getting a new fbi director'
PRED SEQ:	 b'the whole thing is : trump has already up the process of getting a new fbi director'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [5.2339245e-05, 7.011313e-05, 2.1834625e-05, 0.0017328908, 0.9924361, 0.97518104, 8.20336e-06, 5.8442325e-05, 1.3267084e-05, 0.00088021485, 0.0002832089, 1.1952334e-06, 2.5164516e-06, 1.2789517e-06, 1.0711679e-05, 1.9439635e-06, 4.1480025e-06, 3.980295e-06, 7.1755303e-06]
GOLD TOK: 	 [['foul', '##ed']]
PRED TOK: 	 []
################################################################################
