################################################################################
IN SEQ: 	 b'cops in republican senate office assault disabled protesters ; reports of serious injuries'
PRED SEQ:	 b'watch : eric trump throws a hiss ##y fit about the clinton ##s on fox news'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.35066888, 0.16326448, 0.37362993, 0.21704385, 0.34818316, 0.3733484, 0.28284186, 0.12412681, 0.3197995, 0.37625414, 0.34325835, 0.13282207, 0.3102429, 0.34044528, 0.396681, 0.50467885]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'leaked : trump captured over top congress ##men in the worst way ; here ##s how'
GOLD SEQ: 	 b'leaked : trump f * ck ##ed over top congress ##men in the worst way ; here ##s how'
PRED SEQ:	 b'leaked : trump captured over top congress'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.13989782, -0.110558674, 0.04179001, 0.16752623, 0.041520864, 0.14798552, -0.07123783, -0.12944269, -0.049445197, -0.18947974, -0.09639065, 0.10095641, -0.19506213, -0.12675974, -0.10897657, -0.0047103167]
GOLD TOK: 	 [['f', '*', 'ck', '##ed']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'astronaut photo ##bo ##mbs trump ##s press conference and its epic ( video )'
GOLD SEQ: 	 b'famous astronaut photo ##bo ##mbs trump ##s press conference and its epic ( video )'
PRED SEQ:	 b'astronaut photo ##bo ##mbs trump ##s press conference and its epic ( video )'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.11295849, 0.21536145, 0.111913204, -0.1461898, -0.22904041, 0.08434425, 0.3316114, 0.17109376, -0.27709195, 0.16020551, 0.037213787, 0.13256563, 0.073204406, -0.112146586]
GOLD TOK: 	 [['famous']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'mcconnell publicly rejects trump ##s healthcare idea , go ##p civil war has begun'
GOLD SEQ: 	 b'mcconnell publicly rejects trump ##s healthcare idea , inevitable go ##p civil war has begun'
PRED SEQ:	 b'mcconnell publicly rejects trump ##s healthcare idea , go ##p civil war has begun'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.28311783, 0.19451958, 0.08623308, -0.025405169, 0.13027906, 0.10524231, 0.14869317, 0.265321, 0.18826938, -0.010119453, 0.09485939, 0.08077563, 0.06551701, 0.041668504]
GOLD TOK: 	 [['inevitable']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'se ##mp ##er fi : trump just got drilled in core values by the commandant of the marines'
GOLD SEQ: 	 b'se ##mp ##er fi : trump just got drilled in core values by the commandant of the marines'
PRED SEQ:	 b'se ##mp ##er fi : trump just got drilled in core values by the commandant of the marines'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.31660086, 0.279721, -0.151916, 0.10052645, -0.13197891, 0.06991263, 0.33903718, 0.16775277, 0.005067542, 0.02384694, -0.012924999, -0.10320602, 0.14275813, 0.29648513, 0.019254804, -0.023638874, 0.18848276, 0.02489543]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'of all the things about trump , here are the two things that terri ##fy me most'
GOLD SEQ: 	 b'of all the awful things about trump , here are the two things that terri ##fy me most'
PRED SEQ:	 b'of all the things about trump , here are the two things that terri ##fy me most'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.4268625, 0.27073452, 0.38014203, 0.32400376, 0.30749115, 0.13913406, 0.5215123, 0.52449703, 0.5971384, 0.5305299, 0.12899074, 0.44397277, 0.019205581, 0.12120266, 0.09646751, 0.20721623, 0.06767428]
GOLD TOK: 	 [['awful']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'trump just t ##wee ##ted about hurricane harvey and humiliated himself'
GOLD SEQ: 	 b'trump just t ##wee ##ted about hurricane harvey and humiliated himself'
PRED SEQ:	 b'trump just t ##wee ##ted about hurricane harvey and humiliated himself'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.19367583, 0.21784753, -0.105651736, -0.036597222, -0.124006726, 0.09411131, -0.03721252, -0.044175535, -0.021731228, -0.037874013, 0.017216742]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'cnn ##s sanchez : is barely interested trump ##s twitter story how he hides his ignorance about policy ?'
GOLD SEQ: 	 b'cnn ##s sanchez : is barely interested trump ##s twitter circus how he hides his ignorance about policy ?'
PRED SEQ:	 b'cnn ##s sanchez : is barely interested trump ##s twitter story how he hides his ignorance about policy .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.08852984, -0.04758355, -0.07508539, -0.21182916, 0.002513647, -0.11310809, -0.17912872, -0.12747574, -0.13508628, -0.10874634, 0.05663599, 0.0076259673, 0.14072652, -5.1885843e-05, -0.0086513385, 0.05192078, 0.03462483, 0.04843065, -0.009248316]
GOLD TOK: 	 [['circus']]
PRED TOK: 	 [['.']]
################################################################################
IN SEQ: 	 b'we can afford trans soldiers : $ 134 billion spent on via ##gra , gi ##tm ##o , and 3 other things'
GOLD SEQ: 	 b'we can afford trans soldiers : $ 134 billion spent on via ##gra , gi ##tm ##o , and 3 other ridiculous things'
PRED SEQ:	 b'we can afford trans soldiers : $ 134 billion spent on via ##gra , gi ##tm ##o , and 3 other things'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.2621137, 0.13133022, 0.13642648, 0.16730659, 0.17019391, -0.14662836, -0.048084185, 0.16298813, 0.07554515, -0.10229021, 0.10116863, -0.03864488, 0.16798767, 0.44304922, 0.1139722, 0.40553325, 0.2529355, 0.0895206, -0.11045092, -0.12802896, 0.014660805, 0.12390946]
GOLD TOK: 	 [['ridiculous']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'mel ##ania trump has been trapped by protest ##ors & is unable to attend the g ##20 summit today'
GOLD SEQ: 	 b'mel ##ania trump has been trapped by violent protest ##ors & is unable to attend the g ##20 summit today'
PRED SEQ:	 b'mel ##ania trump has been trapped by protest ##ors & is unable to attend the g ##20 summit today'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.47288734, 0.4253519, 0.39226407, 0.44135782, 0.27714506, 0.21742406, 0.11633783, 0.44464317, 0.2326509, 0.3648938, 0.41295007, 0.3159612, 0.33981544, 0.3499084, 0.4246207, 0.25805625, 0.3730561, 0.5439681, 0.46754646]
GOLD TOK: 	 [['violent']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'fox news reporter abruptly leaves press briefing with a big f * ck you to hu ##ck ##abe ##e sanders'
GOLD SEQ: 	 b'fox news reporter abruptly leaves press briefing with a big f * ck you to hu ##ck ##abe ##e sanders'
PRED SEQ:	 b'fox news reporter abruptly leaves press briefing with a big f * ck you to hu ##ck ##abe ##e sanders'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.41155985, 0.3772511, 0.30517066, 0.19666314, 0.29050574, 0.560657, 0.18726102, 0.2646444, 0.47349095, 0.48475233, 0.46638826, 0.40134528, 0.5025409, 0.4847864, 0.3597439, 0.33258796, 0.65924555, 0.3977319, 0.3697934, 0.47028235]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'right - wing activist alex jones now calling for civil war against all liberals'
GOLD SEQ: 	 b'right - wing lunatic alex jones now calling for civil war against all liberals'
PRED SEQ:	 b'conservative activist alex jones now calling for civil war against all liberals'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.42696074, 0.22152787, 0.4353023, 0.23372889, 0.35023287, 0.2921999, 0.26279813, 0.19595021, 0.03471346, 0.11316742, 0.01726979, 0.070087165, 0.15038918, 0.10427788]
GOLD TOK: 	 [['lunatic']]
PRED TOK: 	 [['conservative']]
################################################################################
IN SEQ: 	 b'trump claims about fake news on global stage , bra ##gs about the apprentice ( video )'
GOLD SEQ: 	 b'trump w ##hine ##s about fake news on global stage , bra ##gs about the apprentice ( video )'
PRED SEQ:	 b'trump claims about fake news on global stage , bra ##gs about the apprentice ( video )'
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.24837843, -0.0680598, -0.07326189, 0.016515173, -0.04935415, -0.17337862, -0.09408823, 0.047502786, 0.14247636, -0.020237908, -0.075514495, -0.105080575, 0.12971716, 0.066357374, -0.046921834, 0.07423665, 0.13365099]
GOLD TOK: 	 [['w', '##hine', '##s']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'in the face of climate crisis , trump has become an international par ##iah : sad !'
GOLD SEQ: 	 b'in the face of climate crisis , trump has become an international par ##iah : sad !'
PRED SEQ:	 b'in the face of climate crisis , trump has become an international par ##iah : sad !'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.44801277, 0.070345804, 0.13311704, -0.010528982, 0.13409325, -0.039006114, 0.5549268, 0.20846766, 0.26703322, 0.14379707, 0.05590804, 0.062867455, 0.10099679, 0.16035786, 0.013780434, 0.2970823, 0.28264683]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'w ##h blinds pentagon with new statement on syria in desperate bid to distract from russia'
GOLD SEQ: 	 b'w ##h blinds ##ides pentagon with new statement on syria in desperate bid to distract from russia'
PRED SEQ:	 b'w ##h blinds pentagon with new statement on syria in bid to distract from russia'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.16942409, 0.072853476, -0.0009550899, -0.009328544, -0.0565674, 0.06368354, 0.20710313, 0.008496195, 0.098463476, -0.223205, -0.12873265, -0.28306225, -0.36806822, -0.01383993, -0.026469603, -0.052496865]
GOLD TOK: 	 [['##ides']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'republicans revolt as # 2 go ##p senator defend ##s mitch mcconnell with statement on trump !'
GOLD SEQ: 	 b'republicans revolt as # 2 go ##p senator defend ##s mitch mcconnell with shocking statement on trump !'
PRED SEQ:	 b'republicans invasion as # 2 go ##p senator defend ##s mitch mcconnell with statement on trump !'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.023784414, 0.074407615, -0.2567268, -0.022833973, -0.084582284, 0.09463, -0.009175956, -0.07563083, -0.0054753423, -0.16588962, -0.035594024, -0.024014298, -0.0070171505, 0.14857599, 0.0683061, -0.03361392, 0.08509154]
GOLD TOK: 	 [['shocking']]
PRED TOK: 	 [['invasion']]
################################################################################
IN SEQ: 	 b'reporter def ##ies white house rules with this one move ; internet hail ##s her a hero ( t ##wee ##ts )'
GOLD SEQ: 	 b'reporter def ##ies white house rules with this one courageous move ; internet hail ##s her a hero ( t ##wee ##ts )'
PRED SEQ:	 b'reporter def ##ies white house rules with this one move ; internet hail ##s her a hero ( t ##wee ##ts )'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.3066246, 0.14044002, 0.0914293, 0.032824814, 0.07236904, 0.10827889, 0.084952354, 0.121786416, 0.07422005, 0.4615379, -0.031649355, 0.27310842, 0.42387766, 0.27252573, 0.41724205, 0.13022499, 0.35492074, 0.336002, 0.24585852, 0.22753735, 0.085163, 0.18278255]
GOLD TOK: 	 [['courageous']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'breaking : top do ##j official resign ##s , leaves letter exposing trump corruption'
GOLD SEQ: 	 b'breaking : top do ##j official resign ##s , leaves damn ##ing letter exposing trump corruption'
PRED SEQ:	 b'breaking : top do ##j official resign ##s , leaves letter exposing trump corruption'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.08787064, -0.2950338, 0.056517377, 0.3230391, -0.016007911, -0.06184643, 0.018030107, 0.18475777, 0.3192444, 0.076368734, 0.15090027, -0.011233449, -0.18463579, -0.09701781]
GOLD TOK: 	 [['damn', '##ing']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'trump family just received devastating news about their businesses ; this is pretty'
GOLD SEQ: 	 b'trump family just received devastating news about their businesses ; this is pretty bad'
PRED SEQ:	 b'trump family just received devastating news about their businesses ; this is pretty'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.07951018, 0.097415745, 0.08090848, -0.022367984, -0.11111115, -0.010107249, -0.083999105, 0.025682628, -0.010549545, -0.13813224, 0.27264932, 0.18377376, 0.060087457]
GOLD TOK: 	 [['bad']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'the rock has officially filed his 2020 presidential campaign'
GOLD SEQ: 	 b'the rock has officially filed his 2020 presidential campaign'
PRED SEQ:	 b'the rock has officially filed his 2020 presidential campaign'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.3623652, 0.23297682, 0.1547324, 0.099751174, 0.010512851, 0.09578039, 0.10943731, 0.060044378, 0.0746923]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'jeff sessions cr ##umble ##s as attempt to defend trump ##s non - reaction to nazis goes wrong ( video )'
GOLD SEQ: 	 b'jeff sessions cr ##umble ##s as attempt to defend trump ##s non - reaction to nazis goes terribly wrong ( video )'
PRED SEQ:	 b'jeff sessions cr ##umble ##s as attempt to defend trump ##s to nazis goes wrong ( video )'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.17148098, 0.14035736, 0.14288859, 0.17237371, 0.10723819, 0.044904947, 0.22664617, -0.095383674, 0.051768064, -0.068108864, 0.14025867, 0.28905383, -0.25089043, 0.27452692, 0.023885787, 0.26423442, 0.32296956, 0.46205992, 0.20604654, 0.17289779, -0.021019071]
GOLD TOK: 	 [['terribly']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'trump bail ##s on republicans , begs democrats to help him win ( details )'
GOLD SEQ: 	 b'trump bail ##s on republicans , secretly begs democrats to help him win ( details )'
PRED SEQ:	 b'trump bail ##s on republicans ,'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.2965127, -0.12185906, 0.00077827275, 0.038762063, 0.23769805, 0.17398456, -0.11453658, 0.14750364, 0.17373784, 0.12055988, 0.46944177, 0.1529944, 0.20176427, 0.1862196, 0.06850529]
GOLD TOK: 	 [['secretly']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'former d ##nc chair : russia may have installed trump with disputed votes'
GOLD SEQ: 	 b'former d ##nc chair : russia may have installed trump with fa ##ls ##ified votes'
PRED SEQ:	 b'former d ##nc chair : russia may have installed trump with disputed votes'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
PRED DIST: 	 [0.14729393, -0.2283391, -0.18188436, 0.2352445, -0.4268183, 0.12980905, 0.2298813, 0.1806251, -0.035071477, -0.11517157, -0.11834414, -0.23244601, -0.12487911]
GOLD TOK: 	 [['fa', '##ls', '##ified']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'breaking : lost documents res ##ur ##face to expose trump crime from 1983'
GOLD SEQ: 	 b'breaking : lost documents res ##ur ##face to expose sick trump crime from 1983'
PRED SEQ:	 b'breaking : lost documents res ##ur ##face to expose trump crime from 1983'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.051316798, -0.24778101, -0.022401154, 0.051930428, -0.14856896, -0.38535547, -0.061561167, -0.3340866, -0.04882826, -0.16908716, 0.073804945, -0.025761753, 0.052738234]
GOLD TOK: 	 [['sick']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"paris agreement ' s 1 . 5 ##c target ' only way ' to save coral reefs , says unesco"
GOLD SEQ: 	 b"paris agreement ' s 1 . 5 ##c target ' only way ' to save coral reefs , says unesco"
PRED SEQ:	 b"paris agreement ' s 1 . 5 ##c target ' only way ' to save coral reefs , says unesco"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.051693797, 0.06436675, 0.15346631, 0.05716653, 0.09949882, 0.010623574, 0.119177625, 0.009439945, 0.14889376, 0.17282733, -0.058991097, 0.09352659, 0.1416747, -0.12056462, -0.06233963, -0.30414835, -0.2616622, -0.008152306, -0.09538224, -0.047084868]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'watch : scar ##am ##ucci flip ##s out over white house leaks , sends warning to rein ##ce pri ##eb ##us'
GOLD SEQ: 	 b'watch : scar ##am ##ucci flip ##s out over white house leaks , sends ominous warning to rein ##ce pri ##eb ##us'
PRED SEQ:	 b'watch : scar ##am ##ucci claims out over white house leaks , sends warning to rein ##ce pri ##eb ##us'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.2869728, -0.09804778, 0.22132401, 0.19680987, 0.16203529, -0.06928952, -0.118110925, -0.071213886, -0.12927803, -0.05401275, 0.01661554, -0.11539331, 0.33268577, 0.2743179, 0.57614547, 0.32445866, 0.21471775, 0.09525147, 0.1954075, 0.20437732, 0.13048118]
GOLD TOK: 	 [['ominous']]
PRED TOK: 	 [['claims']]
################################################################################
IN SEQ: 	 b'so , i ran for congress : a sneak preview'
GOLD SEQ: 	 b'so i ran for congress : a sneak preview'
PRED SEQ:	 b'so , i ran for congress : a sneak preview'
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.36869627, 0.1926841, 0.103086255, -0.07487185, -0.22684039, -0.07129493, -0.20784366, 0.102635585, 0.09655521, 0.15138558]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"the folly of the next afghan ' surge '"
GOLD SEQ: 	 b"the deadly folly of the next afghan ' surge '"
PRED SEQ:	 b"the chairperson of the next afghan ' surge '"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.48629016, 0.39518252, 0.31242824, 0.45941156, 0.47035584, 0.4800195, 0.46341434, 0.45648187, 0.6383394]
GOLD TOK: 	 [['deadly']]
PRED TOK: 	 [['chairperson']]
################################################################################
IN SEQ: 	 b'cnn ##s jake tap ##per rip ##s apart trump ##s lies about fake news ( video )'
GOLD SEQ: 	 b'cnn ##s jake tap ##per perfectly rip ##s apart trump ##s lies about fake news ( video )'
PRED SEQ:	 b'cnn ##s jake tap ##per rip ##s apart trump ##s lies about fake news ( video )'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.11482638, -0.0674693, -0.013065904, 0.0023314655, -0.32082272, -0.12302621, -0.13278969, -0.08564013, -0.135708, -0.069488585, 0.08750513, 0.08023739, 0.035471737, 0.121353775, 0.11397385, 0.19906613, 0.13588738]
GOLD TOK: 	 [['perfectly']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'multiple reports indicate the 2016 election results were rigged ( video )'
GOLD SEQ: 	 b'multiple reports indicate the 2016 election results were likely rigged ( video )'
PRED SEQ:	 b'multiple reports indicate the 2016 election results were rigged ( video )'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.22259228, 0.09454024, -0.16648059, 0.032193482, -0.017517067, 0.026227847, 0.057003498, 0.1534802, 0.048439115, 0.044119284, 0.1872713, 0.045770317]
GOLD TOK: 	 [['likely']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'breaking : officials admit the truth about russian hacking , this is what trump is hiding .'
GOLD SEQ: 	 b'breaking : officials admit ho ##rri ##fying truth about russian hacking , this is what trump is hiding .'
PRED SEQ:	 b'breaking : officials admit the truth about russian hacking , this is what trump is hiding .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.03442318, -0.2999993, -0.14792302, -0.08316191, 0.012240559, -0.148538, -0.08248998, -0.17860954, -0.31841898, 0.14885363, 0.13010263, -0.042541794, -0.00095811486, -0.16624163, -0.07194999, -0.10790236, -0.23652557]
GOLD TOK: 	 [['ho', '##rri', '##fying']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'a federal court just ruined trump ##s chance of destroying the environment'
GOLD SEQ: 	 b'a federal court just ruined trump ##s chance of destroying the environment'
PRED SEQ:	 b'a federal court just ruined trump ##s chance of destroying the environment'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.099034175, -0.1302054, 0.056349456, 0.17231214, 0.058167696, -0.147484, 0.013538688, 0.11901024, 0.08279696, -0.22704618, -0.3072011, -0.1986442]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'sanders refuses to answer simple question about trump ##s racism ( video )'
GOLD SEQ: 	 b'sanders coward ##ly refuses to answer simple question about trump ##s racism ( video )'
PRED SEQ:	 b'sanders refuses to answer question about trump ##s racism ( video )'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.40322676, 0.18320666, -0.024188995, 0.023829602, 0.27567428, 0.40166187, 0.112073004, 0.100266226, 0.23041993, 0.38942826, 0.3407973, 0.49760738, 0.33151913]
GOLD TOK: 	 [['coward', '##ly']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'breaking : sean spice ##r resign ##s amidst ongoing position in white house'
GOLD SEQ: 	 b'breaking : sean spice ##r resign ##s amidst ongoing scandal in white house'
PRED SEQ:	 b'breaking : sean spice ##r resign ##s amidst ongoing position in white house'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.069556296, -0.17785919, -0.049311906, -0.02581665, -0.092309274, 0.112155706, 0.13020147, -0.028761774, -0.0908906, -0.06165254, -0.050321043, -0.21767884, -0.14801744]
GOLD TOK: 	 [['scandal']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'criminal : indiana go ##p makes move to steal elections'
GOLD SEQ: 	 b'criminal : indiana go ##p makes ho ##rri ##fying move to steal elections'
PRED SEQ:	 b'criminal : indiana go ##p makes move to avoid elections'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.3216865, -0.09421767, 0.22181287, 0.42739996, 0.31756783, 0.23986655, 0.41417387, 0.23875502, 0.26489648, 0.24189672]
GOLD TOK: 	 [['ho', '##rri', '##fying']]
PRED TOK: 	 [['avoid']]
################################################################################
IN SEQ: 	 b'u . s . job growth accelerate ##s ; guess what president made that happen'
GOLD SEQ: 	 b'u . s . job growth accelerate ##s ; guess what president made that happen'
PRED SEQ:	 b'u . s . job growth accelerate ##s ; guess what president made that happen'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.111307286, -0.14256346, 0.008259103, 0.025231674, -0.027775064, -0.083636805, -0.017561492, 0.08656783, 0.069611594, 0.07845296, 0.29471216, 0.3544906, 0.31064713, 0.12762839, 0.31821907]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'judge stands up to cry'
GOLD SEQ: 	 b'judge stands up to cry baby neo - nazi leader charles can ##t ##well after'
PRED SEQ:	 b'judge stands up to cry'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0459176, -0.16380547, -0.23563378, -0.30023062, -0.22970107]
GOLD TOK: 	 [['baby', 'neo', '-', 'nazi', 'leader', 'charles', 'can', '##t', '##well', 'after']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'watch : artist expose ##s trump jr . s corruption in a hot new song its shocking ##ly good'
GOLD SEQ: 	 b'watch : artist expose ##s trump jr . s corruption in a hot new song its shocking ##ly good'
PRED SEQ:	 b'watch : artist expose ##s trump jr . s corruption in a hot new song its shocking ##ly good'
